tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
blocksworld-ipc08_26.yml	OUT OF MEMORY (false)	7883.054159	7883.037052102387	4096.000000	-1	-1	TIMEOUT (false)	14402.188106	11090.262548599392	3011.584000	-1	-1
blocksworld-new_12.yml	OUT OF MEMORY (false)	1081.958559	1081.5720260441303	4096.000000	-1	-1	TIMEOUT (false)	14402.242363	7727.744711671025	1326.112768	-1	-1
blocksworld-new_14.yml	OUT OF MEMORY (false)	9341.038431	9340.92236045003	4096.000000	-1	-1	TIMEOUT (false)	14401.703176	12260.866015840322	2340.200448	-1	-1
blocksworld-new_25.yml	OUT OF MEMORY (false)	14079.363823	14079.941214814782	4096.000000	-1	-1	TIMEOUT (false)	14400.416088	14400.874099478126	3172.052992	-1	-1
blocksworld-new_8.yml	TIMEOUT (false)	14402.098415	7257.964895848185	1180.651520	-1	-1	true	13451.361604	6736.0541199781	362.659840	6735.5269675552845	18
chain-of-rooms_2.yml	true	11717.177202	5940.773898854852	939.327488	5940.184521771967	58	TIMEOUT (false)	14402.054527	7214.768073495477	458.752000	-1	-1
earth_observation_29.yml	true	10873.518515	5463.490108966827	481.955840	5462.944731269032	36	TIMEOUT (false)	14402.03561	7211.8485750705	287.526912	-1	-1
earth_observation_31.yml	true	5146.964816	2587.245575096458	333.701120	2586.645052663982	37	TIMEOUT (false)	14402.035159	7207.508551236242	227.495936	-1	-1
faults-ipc08_38.yml	true	10020.450848	5015.422345038503	164.364288	5014.815519064665	20	TIMEOUT (false)	14402.027292	7203.051881447434	165.433344	-1	-1
faults-ipc08_46.yml	true	14113.560922	7061.0764072313905	163.700736	7060.427959240973	23	TIMEOUT (false)	14402.098378	7203.023460261524	152.088576	-1	-1
first-responders-ipc08_76.yml	TIMEOUT (false)	14400.263206	14400.810845922679	132.337664	-1	-1	true	14031.967174	13103.211103007197	274.067456	13102.68401626125	19
miner_45.yml	OUT OF MEMORY (false)	453.774211	432.1540956273675	4096.000000	-1	-1	true	632.202947	482.11023561656475	2793.750528	481.6372702084482	28
miner_51.yml	OUT OF MEMORY (false)	459.612186	447.4437216371298	4096.000000	-1	-1	true	563.087103	505.8649476133287	3018.289152	505.3735656477511	25
tireworld_09.yml	TIMEOUT (false)	14402.1599	7651.402906205505	2321.838080	-1	-1	false	1708.044247	1210.403652753681	1819.611136	1209.9189090803266	-1
triangle-tireworld_04.yml	true	9240.123661	4646.006131842732	441.159680	4645.4346469044685	32	TIMEOUT (false)	14402.03586	7208.40030291304	226.783232	-1	-1
triangle-tireworld_16.yml	OUT OF MEMORY (false)	84.792301	84.33452739939094	4096.000000	-1	-1	TIMEOUT (false)	14402.167313	7231.304551012814	2929.651712	-1	-1
triangle-tireworld_17.yml	OUT OF MEMORY (false)	58.722435	58.2434408813715	4096.000000	-1	-1	TIMEOUT (false)	14402.184543	7242.720811542124	3570.847744	-1	-1
