scenario,instance,solver,total-time,ground-time,solve-time,states
doors,p14,asp-opt-4,739.19,221.07999999999998,518.11,31
doors,p14,asp-1,8443.427999999998,149.6679999999998,8293.76,31
doors,p14,fondsat-glucose,2567.622172,147.75669294735417,2385.727448,31
doors,p14,asp-opt-1,4770.483000000001,213.88300000000015,4556.6,31
doors,p14,asp-4,907.4549999999999,134.52500000000003,772.9299999999998,31
doors,p14,asp-8,653.3260000000001,139.706,513.62,31
doors,p04,asp-opt-8,2.6740000000000004,2.354,0.31999999999999995,11
doors,p04,fondsat-minisat,8.557856,2.657432548236102,5.437054,11
doors,p04,asp-opt-4,2.189,1.9290000000000003,0.26,11
doors,p04,asp-1,3.1530000000000005,2.2030000000000003,0.95,11
doors,p04,fondsat-glucose,2.426196,1.5119448765181005,0.544218,11
doors,p04,asp-opt-1,2.8019999999999996,2.152,0.6500000000000001,11
doors,p04,asp-4,2.083,1.653,0.43000000000000005,11
doors,p04,asp-8,1.9490000000000003,1.319,0.63,11
acrobatics,p01,asp-opt-8,0.053,0.053,0.0,4
acrobatics,p01,fondsat-minisat,0.153791,0.015587810426950455,0.017727,4
acrobatics,p01,asp-opt-4,0.016,0.016,0.0,4
acrobatics,p01,asp-1,0.019,0.019,0.0,4
acrobatics,p01,fondsat-glucose,0.108676,0.014339944813400507,0.014564,4
acrobatics,p01,asp-opt-1,0.014,0.014,0.0,4
acrobatics,p01,asp-4,0.02,0.02,0.0,4
acrobatics,p01,asp-8,0.020999999999999998,0.020999999999999998,0.0,4
acrobatics,p05,asp-opt-8,70219.55200000001,2248.521999999999,67971.03,64
acrobatics,p05,asp-8,56447.128999999986,1558.5990000000008,54888.530000000006,64
acrobatics,p02,asp-opt-8,0.264,0.234,0.03,8
acrobatics,p02,fondsat-minisat,0.740295,0.3113473877310753,0.283074,8
acrobatics,p02,asp-opt-4,0.23500000000000001,0.205,0.03,8
acrobatics,p02,asp-1,0.31999999999999995,0.27999999999999997,0.04,8
acrobatics,p02,fondsat-glucose,0.458541,0.2537359497509897,0.092303,8
acrobatics,p02,asp-opt-1,0.323,0.28300000000000003,0.04,8
acrobatics,p02,asp-4,0.32599999999999996,0.286,0.04,8
acrobatics,p02,asp-8,0.21,0.18,0.03,8
acrobatics,p03,asp-opt-8,6.529,5.339,1.1900000000000002,16
acrobatics,p03,fondsat-minisat,44.517373,4.325707381591201,39.066132,16
acrobatics,p03,asp-opt-4,5.5040000000000004,4.314,1.1900000000000002,16
acrobatics,p03,asp-1,13.396999999999998,6.327,7.07,16
acrobatics,p03,fondsat-glucose,9.977163,3.830567999742925,5.194236,16
acrobatics,p03,asp-opt-1,8.042,5.332000000000001,2.71,16
acrobatics,p03,asp-4,7.159000000000001,4.8389999999999995,2.32,16
acrobatics,p03,asp-8,4.756,3.4859999999999998,1.2700000000000002,16
acrobatics,p04,asp-opt-8,286.429,120.81900000000002,165.60999999999999,32
acrobatics,p04,fondsat-minisat,64778.245412,90.09219482168555,64660.090055,32
acrobatics,p04,asp-opt-4,508.049,117.52899999999998,390.52000000000004,32
acrobatics,p04,asp-1,4634.147000000001,144.91700000000012,4489.2300000000005,32
acrobatics,p04,fondsat-glucose,1676.457807,77.40182294603437,1562.747553,32
acrobatics,p04,asp-opt-1,2559.4859999999994,139.48599999999996,2420.0,32
acrobatics,p04,asp-4,713.4799999999999,93.47,620.01,32
acrobatics,p04,asp-8,283.57399999999996,71.424,212.15000000000003,32
elevators,p09,asp-opt-8,52371.68600000001,70.80599999999806,52300.88000000001,36
elevators,p09,fondsat-glucose,24063.351321,70.60734675871208,23929.257218,36
elevators,p01,asp-opt-8,2.734,1.824,0.9100000000000001,14
elevators,p01,asp-plus-opt-1,2.2689999999999997,1.2590000000000003,1.01,14
elevators,p01,fondsat-minisat,12.015257,2.5012428546324372,8.917883,14
elevators,p01,asp-opt-4,3.151,2.231,0.92,14
elevators,p01,asp-1,3.2590000000000003,1.669,1.59,14
elevators,p01,fondsat-glucose,4.100794,2.089703019708395,1.42584,14
elevators,p01,asp-opt-1,3.337,1.797,1.54,14
elevators,p01,asp-4,3.4130000000000003,2.0530000000000004,1.36,14
elevators,p01,asp-8,3.2119999999999997,1.9120000000000001,1.3000000000000003,14
elevators,p05,asp-opt-8,1.411,1.1210000000000002,0.29000000000000004,12
elevators,p05,asp-plus-opt-1,1.242,1.0220000000000002,0.22,12
elevators,p05,fondsat-minisat,9.0273,1.6361419567838311,6.910557,12
elevators,p05,asp-opt-4,2.0020000000000002,1.7120000000000002,0.2899999999999999,12
elevators,p05,asp-1,1.4519999999999997,1.032,0.42,12
elevators,p05,fondsat-glucose,2.626955,1.5126993511803448,0.763382,12
elevators,p05,asp-opt-1,1.7870000000000001,1.3770000000000002,0.41,12
elevators,p05,asp-4,1.502,1.072,0.43,12
elevators,p05,asp-8,1.7779999999999998,1.318,0.46,12
elevators,p07,asp-opt-8,45.599,13.858999999999998,31.740000000000002,23
elevators,p07,asp-plus-opt-1,68.46600000000001,10.605999999999998,57.86,23
elevators,p07,fondsat-minisat,614.042499,17.81361331511289,590.442333,23
elevators,p07,asp-opt-4,93.343,17.112999999999996,76.23,23
elevators,p07,asp-1,159.98100000000002,12.200999999999999,147.78,23
elevators,p07,fondsat-glucose,109.196688,18.42466567689553,85.930357,23
elevators,p07,asp-opt-1,126.679,17.309000000000005,109.37,23
elevators,p07,asp-4,160.958,16.508000000000006,144.45000000000002,23
elevators,p07,asp-8,77.745,15.954999999999998,61.78999999999999,23
elevators,p02,asp-opt-8,0.5450000000000002,0.48500000000000004,0.060000000000000005,9
elevators,p02,asp-plus-opt-1,0.42200000000000004,0.402,0.02,9
elevators,p02,fondsat-minisat,1.519077,0.7130826208740473,0.599462,9
elevators,p02,asp-opt-4,0.724,0.674,0.05,9
elevators,p02,asp-1,0.463,0.443,0.02,9
elevators,p02,fondsat-glucose,0.998363,0.6656569284386933,0.154776,9
elevators,p02,asp-opt-1,0.6000000000000001,0.5900000000000001,0.01,9
elevators,p02,asp-4,0.522,0.44200000000000006,0.07999999999999999,9
elevators,p02,asp-8,0.4809999999999999,0.401,0.08,9
elevators,p08,asp-opt-8,73435.942,72.83200000000157,73363.11000000002,36
elevators,p08,fondsat-glucose,56891.233342,83.15611828351393,56759.888569,36
elevators,p06,asp-opt-8,39.411,15.141,24.27,23
elevators,p06,asp-plus-opt-1,96.86700000000002,12.067000000000005,84.8,23
elevators,p06,fondsat-minisat,440.557563,19.052861449308693,412.63401,23
elevators,p06,asp-opt-4,55.91099999999999,21.701,34.209999999999994,23
elevators,p06,asp-1,170.006,14.236000000000011,155.76999999999998,23
elevators,p06,fondsat-glucose,79.399499,18.571622035000473,54.615461,23
elevators,p06,asp-opt-1,160.55900000000003,22.299000000000007,138.26,23
elevators,p06,asp-4,129.66400000000002,17.294,112.37,23
elevators,p06,asp-8,68.458,13.588,54.870000000000005,23
elevators,p03,asp-opt-8,3.9890000000000003,2.7489999999999997,1.2400000000000002,16
elevators,p03,asp-plus-opt-1,4.159999999999999,2.27,1.8900000000000001,16
elevators,p03,fondsat-minisat,27.72042,3.586675270460546,22.807002,16
elevators,p03,asp-opt-4,5.147,3.577,1.57,16
elevators,p03,asp-1,6.627000000000001,2.287,4.34,16
elevators,p03,fondsat-glucose,6.601206,3.2721659592352808,2.486822,16
elevators,p03,asp-opt-1,6.396,2.9660000000000006,3.43,16
elevators,p03,asp-4,6.398,2.988,3.41,16
elevators,p03,asp-8,4.114,2.194,1.92,16
elevators,p04,asp-opt-8,2.5249999999999995,1.955,0.5700000000000001,14
elevators,p04,asp-plus-opt-1,2.662,1.9420000000000002,0.7200000000000002,14
elevators,p04,fondsat-minisat,11.071479,2.834789683111012,7.444441,14
elevators,p04,asp-opt-4,3.3409999999999993,2.671,0.67,14
elevators,p04,asp-1,2.734000000000001,1.704,1.03,14
elevators,p04,fondsat-glucose,5.430161,3.074608957860619,1.362112,14
elevators,p04,asp-opt-1,3.604,2.1339999999999995,1.47,14
elevators,p04,asp-4,3.1799999999999997,2.3,0.8800000000000001,14
elevators,p04,asp-8,2.324,1.4939999999999998,0.8300000000000001,14
blocksworld-ipc08,p09,asp-opt-8,8.209000000000001,7.129,1.08,9
blocksworld-ipc08,p09,asp-plus-opt-1,4.7780000000000005,4.278,0.5,9
blocksworld-ipc08,p09,fondsat-minisat,19.364978,10.083329462446272,7.996215,9
blocksworld-ipc08,p09,asp-opt-4,7.590999999999999,6.651,0.94,9
blocksworld-ipc08,p09,asp-1,7.502999999999999,5.583,1.92,9
blocksworld-ipc08,p09,fondsat-glucose,14.886664,10.748087122570723,2.786115,9
blocksworld-ipc08,p09,asp-opt-1,10.642,9.032000000000002,1.61,9
blocksworld-ipc08,p09,asp-4,7.406,6.026,1.3800000000000001,9
blocksworld-ipc08,p09,asp-8,3.226,2.636,0.5900000000000001,9
blocksworld-ipc08,p01,asp-opt-8,9.702,8.512,1.19,9
blocksworld-ipc08,p01,asp-plus-opt-1,6.727000000000001,5.687,1.04,9
blocksworld-ipc08,p01,fondsat-minisat,22.803917,12.352303924039006,9.111008,9
blocksworld-ipc08,p01,asp-opt-4,6.707000000000001,5.877,0.8300000000000001,9
blocksworld-ipc08,p01,asp-1,8.766,7.1659999999999995,1.6,9
blocksworld-ipc08,p01,fondsat-glucose,9.277026,6.224423105362803,2.328032,9
blocksworld-ipc08,p01,asp-opt-1,12.370000000000001,9.950000000000001,2.42,9
blocksworld-ipc08,p01,asp-4,8.4,6.629999999999999,1.77,9
blocksworld-ipc08,p01,asp-8,3.7299999999999995,2.75,0.9799999999999999,9
blocksworld-ipc08,p05,asp-opt-8,27.618999999999996,22.549,5.07,12
blocksworld-ipc08,p05,asp-plus-opt-1,30.586,13.775999999999998,16.810000000000002,13
blocksworld-ipc08,p05,fondsat-minisat,59.392655,25.46685749758035,30.692066,12
blocksworld-ipc08,p05,asp-opt-4,22.857999999999997,15.618000000000002,7.239999999999999,12
blocksworld-ipc08,p05,asp-1,22.468,12.008000000000003,10.459999999999999,12
blocksworld-ipc08,p05,fondsat-glucose,26.696483,13.966848797630519,10.772269,12
blocksworld-ipc08,p05,asp-opt-1,36.359,21.469,14.889999999999999,12
blocksworld-ipc08,p05,asp-4,24.837,14.447000000000001,10.389999999999999,12
blocksworld-ipc08,p05,asp-8,8.803999999999998,6.233999999999998,2.5699999999999994,12
blocksworld-ipc08,p07,asp-opt-8,50.495,28.665,21.829999999999995,13
blocksworld-ipc08,p07,asp-plus-opt-1,36.533,13.943,22.590000000000003,13
blocksworld-ipc08,p07,fondsat-minisat,126.404284,28.79828354716301,95.653419,13
blocksworld-ipc08,p07,asp-opt-4,40.793000000000006,23.722999999999995,17.07,13
blocksworld-ipc08,p07,asp-1,72.496,16.436,56.059999999999995,13
blocksworld-ipc08,p07,fondsat-glucose,37.306864,20.15476867510006,15.58612,13
blocksworld-ipc08,p07,asp-opt-1,98.666,27.22600000000001,71.44,13
blocksworld-ipc08,p07,asp-4,53.06999999999999,16.03,37.04,13
blocksworld-ipc08,p07,asp-8,22.002000000000002,8.001999999999999,14.0,13
blocksworld-ipc08,p17,fondsat-glucose,67379.273799,1173.596040243283,66114.652851,22
blocksworld-ipc08,p02,asp-opt-8,5.39,4.96,0.43000000000000005,8
blocksworld-ipc08,p02,asp-plus-opt-1,4.768999999999999,4.359,0.41000000000000003,9
blocksworld-ipc08,p02,fondsat-minisat,14.43243,7.852837935090065,4.826664,8
blocksworld-ipc08,p02,asp-opt-4,4.52,4.18,0.34,8
blocksworld-ipc08,p02,asp-1,4.602,4.082000000000001,0.52,8
blocksworld-ipc08,p02,fondsat-glucose,6.361426,4.160698734223843,1.533254,8
blocksworld-ipc08,p02,asp-opt-1,7.231999999999999,6.361999999999999,0.8700000000000001,8
blocksworld-ipc08,p02,asp-4,5.089,4.478999999999999,0.6100000000000001,8
blocksworld-ipc08,p02,asp-8,2.192,1.9120000000000001,0.28,8
blocksworld-ipc08,p10,asp-opt-8,17.858999999999998,14.628999999999998,3.2300000000000004,11
blocksworld-ipc08,p10,asp-plus-opt-1,10.173,8.023000000000001,2.1500000000000004,11
blocksworld-ipc08,p10,fondsat-minisat,39.454589,19.181802700273693,18.437005,11
blocksworld-ipc08,p10,asp-opt-4,16.701,13.171,3.5300000000000002,11
blocksworld-ipc08,p10,asp-1,16.536,10.155999999999999,6.379999999999999,11
blocksworld-ipc08,p10,fondsat-glucose,22.784783,13.416042312048376,8.086291,11
blocksworld-ipc08,p10,asp-opt-1,25.241,17.341,7.899999999999999,11
blocksworld-ipc08,p10,asp-4,15.764999999999999,10.625,5.14,11
blocksworld-ipc08,p10,asp-8,6.274,4.814,1.46,11
blocksworld-ipc08,p08,asp-opt-8,73.64099999999996,28.541000000000004,45.1,13
blocksworld-ipc08,p08,asp-plus-opt-1,60.66199999999999,14.132000000000001,46.529999999999994,13
blocksworld-ipc08,p08,fondsat-minisat,154.294668,30.080280259251595,121.829414,13
blocksworld-ipc08,p08,asp-opt-4,54.152,24.482000000000006,29.67,13
