,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
517,miner,p42,asp2-reg-undo-4h,asp,True,True,412.8971441611648,1445.19140625,False,False,21
518,miner,p42,asp2-reg-kb-4h,asp,True,True,295.8562114103697,1239.48046875,False,False,21
528,miner,p36,asp2-reg-4h,asp,True,True,165.18213604111224,589.984375,False,False,19
529,miner,p36,asp2-reg-undo-4h,asp,True,True,245.3822192410007,995.00390625,False,False,19
530,miner,p36,asp2-reg-kb-4h,asp,True,True,170.5814885222353,581.67578125,False,False,19
540,miner,p41,asp2-reg-4h,asp,True,True,369.99671568814665,1198.2265625,False,False,22
541,miner,p41,asp2-reg-undo-4h,asp,True,True,414.7575155380182,1527.1796875,False,False,22
542,miner,p41,asp2-reg-kb-4h,asp,True,True,301.93276047194377,1331.9453125,False,False,22
552,miner,p49,asp2-reg-4h,asp,True,True,1841.4753307569767,2523.3515625,False,False,28
553,miner,p49,asp2-reg-undo-4h,asp,True,True,1543.816772466991,3169.84375,False,False,28
554,miner,p49,asp2-reg-kb-4h,asp,True,True,951.6018794598058,2787.02734375,False,False,28
564,miner,p24,asp2-reg-4h,asp,True,True,384.3127890052274,1037.8828125,False,False,22
565,miner,p24,asp2-reg-undo-4h,asp,True,True,391.7540159020573,1322.03515625,False,False,22
566,miner,p24,asp2-reg-kb-4h,asp,True,True,264.7309430590831,732.1484375,False,False,22
576,miner,p07,asp2-reg-4h,asp,True,True,56.277741325087845,177.0234375,False,False,20
577,miner,p07,asp2-reg-undo-4h,asp,True,True,66.651714195963,511.765625,False,False,20
578,miner,p07,asp2-reg-kb-4h,asp,True,True,65.51912018610165,395.9375,False,False,20
588,miner,p09,asp2-reg-4h,asp,True,True,52.27824128419161,362.83984375,False,False,19
589,miner,p09,asp2-reg-undo-4h,asp,True,True,65.18452825769782,461.953125,False,False,19
590,miner,p09,asp2-reg-kb-4h,asp,True,True,70.43636665679514,168.875,False,False,19
600,miner,p23,asp2-reg-4h,asp,True,True,247.385184426792,799.83203125,False,False,22
601,miner,p23,asp2-reg-undo-4h,asp,True,True,266.988524004817,1027.390625,False,False,22
602,miner,p23,asp2-reg-kb-4h,asp,True,True,173.60620323522016,744.56640625,False,False,22
612,miner,p12,asp2-reg-4h,asp,True,True,22.40345350280404,1.0625,False,False,17
613,miner,p12,asp2-reg-undo-4h,asp,True,True,26.94248170079664,1.11328125,False,False,17
614,miner,p12,asp2-reg-kb-4h,asp,True,True,32.804268727079034,222.734375,False,False,17
624,miner,p08,asp2-reg-4h,asp,True,True,37.91026582289487,64.90234375,False,False,18
625,miner,p08,asp2-reg-undo-4h,asp,True,True,48.04212737409398,313.375,False,False,18
626,miner,p08,asp2-reg-kb-4h,asp,True,True,47.04777758428827,247.671875,False,False,18
636,miner,p15,asp2-reg-4h,asp,True,True,83.03780242335051,460.98046875,False,False,20
637,miner,p15,asp2-reg-undo-4h,asp,True,True,87.21571909822524,394.2734375,False,False,20
638,miner,p15,asp2-reg-kb-4h,asp,True,True,86.09487567096949,469.37109375,False,False,20
648,miner,p47,asp2-reg-4h,asp,True,True,1298.7179204979911,2443.56640625,False,False,25
649,miner,p47,asp2-reg-undo-4h,asp,True,True,1226.7813638849184,3065.59765625,False,False,25
650,miner,p47,asp2-reg-kb-4h,asp,True,True,877.5920421341434,3056.92578125,False,False,25
660,miner,p02,asp2-reg-4h,asp,True,True,4.072253609076142,0.89453125,False,False,15
661,miner,p02,asp2-reg-undo-4h,asp,True,True,5.280502003151923,2.5546875,False,False,15
662,miner,p02,asp2-reg-kb-4h,asp,True,True,5.496970806270838,0.90234375,False,False,15
672,miner,p10,asp2-reg-4h,asp,True,True,36.3409292306751,257.79296875,False,False,17
673,miner,p10,asp2-reg-undo-4h,asp,True,True,45.81210671225563,160.45703125,False,False,17
674,miner,p10,asp2-reg-kb-4h,asp,True,True,49.96865471731872,131.8671875,False,False,17
