tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
acrobatics_01.yml	true	0.538533	0.5476076640188694	46.837760	0.0856851376593113	4	true	0.551119	0.5619649924337864	47.005696	0.08921831473708153	4
acrobatics_02.yml	true	0.690846	0.7009727284312248	47.124480	0.24311579763889313	8	true	0.657095	0.6676908321678638	47.075328	0.18400567770004272	8
acrobatics_03.yml	true	5.324033	5.3376470766961575	92.196864	4.845416732132435	16	true	4.34453	4.356562253087759	58.712064	3.888809058815241	16
acrobatics_04.yml	true	2110.199516	2110.420623123646	478.638080	2109.927774965763	32	true	3179.57596	3179.7204206585884	171.376640	3179.2398362979293	32
acrobatics_05.yml	TIMEOUT (false)	14400.148033	14400.774018332362	1735.385088	14400.21621024236	-1	TIMEOUT (false)	14400.146304	14400.768142551184	302.206976	14400.208637565374	-1
acrobatics_06.yml	TIMEOUT (false)	14400.056643	14400.843665521592	2585.305088	14400.279268343002	-1	TIMEOUT (false)	14400.173442	14400.820374075323	483.708928	14400.268915966153	-1
acrobatics_07.yml	OUT OF MEMORY (false)	7329.038992	7329.225057199597	4096.000000	-1	-1	TIMEOUT (false)	14400.320171	14400.907219290733	806.846464	14400.38258767873	-1
acrobatics_08.yml	OUT OF MEMORY (false)	1693.483517	1693.598133470863	4096.000000	-1	-1	TIMEOUT (false)	14400.460641	14401.003805160522	1319.538688	-1	-1
beam-walk_01.yml	true	0.586272	0.5947920046746731	46.870528	0.14290617406368256	8	true	0.543894	0.5525036416947842	46.837760	0.11608836054801941	8
beam-walk_02.yml	true	1.033316	1.044843751937151	52.011008	0.5959363020956516	16	true	0.862353	0.8715246245265007	46.870528	0.4175747185945511	16
beam-walk_03.yml	true	32.969009	32.986860170960426	125.366272	32.5231962390244	32	true	142.094899	142.14340839907527	75.321344	141.6808448471129	32
beam-walk_04.yml	false	14399.857262	14400.692185040563	367.169536	14400.171023219824	-1	TIMEOUT (false)	14400.069621	14400.737463783473	179.449856	14400.170387525111	-1
beam-walk_05.yml	TIMEOUT (false)	14400.064013	14400.745568394661	578.945024	14400.189286429435	-1	false	14399.703263	14400.71740212664	241.360896	14400.189902920276	-1
beam-walk_06.yml	false	14397.256343	14400.80547644943	921.673728	14400.224171999842	-1	false	14396.527566	14400.772411566228	390.316032	14400.225596390665	-1
beam-walk_07.yml	TIMEOUT (false)	14400.247332	14400.853498071432	1707.581440	14400.280705887824	-1	TIMEOUT (false)	14400.214228	14400.805247884244	735.059968	14400.268760800362	-1
beam-walk_08.yml	TIMEOUT (false)	14400.167601	14401.004634160548	2984.054784	14400.433501049876	-1	TIMEOUT (false)	14400.046483	14400.953106313944	1548.460032	14400.415520913899	-1
beam-walk_09.yml	OUT OF MEMORY (false)	2469.564492	2469.5173556283116	4096.000000	-1	-1	TIMEOUT (false)	14400.671659	14401.003477629274	3621.552128	-1	-1
