tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
chain-of-rooms_6.yml	TIMEOUT (false)	14400.129062	14400.691521737725	2039.803904	14400.138689659536	-1	false	14396.383284	14400.810728915036	511.688704	14400.228160034865	-1
chain-of-rooms_7.yml	false	14396.61405	14400.829185195267	2321.371136	14400.241192977875	-1	TIMEOUT (false)	14400.217725	14400.794310096651	622.542848	14400.229624625295	-1
chain-of-rooms_8.yml	TIMEOUT (false)	14400.271414	14400.74955542013	2536.873984	14400.246313970536	-1	false	14399.983764	14400.823680114001	732.958720	14400.253184314817	-1
earth_observation_05.yml	false	14399.721613	14400.718497660011	139.059200	14400.175077985972	-1	TIMEOUT (false)	14400.008417	14400.723205629736	108.441600	14400.172046862543	-1
earth_observation_06.yml	true	6173.601286	6173.86987124756	87.093248	6173.378100641072	25	TIMEOUT (false)	14400.040597	14400.713069878519	93.671424	14400.163741651922	-1
earth_observation_09.yml	TIMEOUT (false)	14400.058095	14400.729301232845	121.049088	14400.16845401004	-1	false	14396.111463	14400.699018850923	98.537472	14400.167042728513	-1
earth_observation_10.yml	false	14399.690685	14400.743102148175	187.158528	14400.176724717021	-1	TIMEOUT (false)	14400.074411	14400.74070045352	131.620864	14400.179731473327	-1
earth_observation_13.yml	false	14396.570798	14400.782263316214	150.650880	14400.173709325492	-1	TIMEOUT (false)	14400.067844	14400.703645523638	133.206016	14400.175471182913	-1
earth_observation_19.yml	TIMEOUT (false)	14400.049515	14400.729827169329	223.064064	14400.176824156195	-1	false	14396.152502	14400.803294871002	144.867328	14400.185603331774	-1
earth_observation_20.yml	false	14399.810767	14400.749511960894	300.617728	14400.192991565913	-1	TIMEOUT (false)	14400.088211	14400.760708320886	168.140800	14400.187586959451	-1
