task,run,status,solved,cputime,walltime,memory_mb,planner_time,policy_size,domain,instance,solver
blocksworld-ipc08_23.yml,paladinus.FOND,0,False,6641.528204,6642.069713179022,3303.206912,-1.0,-1,blocksworld-ipc08,23,PAL
blocksworld-ipc08_24.yml,paladinus.FOND,0,False,6948.449071,6948.993371203542,3300.667392,-1.0,-1,blocksworld-ipc08,24,PAL
blocksworld-ipc08_25.yml,paladinus.FOND,0,False,6713.107437,6713.636735236272,3298.168832,-1.0,-1,blocksworld-ipc08,25,PAL
blocksworld-ipc08_26.yml,paladinus.FOND,0,False,6595.160157,6595.718393102288,3305.009152,-1.0,-1,blocksworld-ipc08,26,PAL
blocksworld-ipc08_27.yml,paladinus.FOND,0,False,6764.353192,6765.249777045101,3305.660416,-1.0,-1,blocksworld-ipc08,27,PAL
blocksworld-ipc08_28.yml,paladinus.FOND,0,False,6901.344884,6903.405395634472,3300.839424,-1.0,-1,blocksworld-ipc08,28,PAL
blocksworld-ipc08_29.yml,paladinus.FOND,0,False,6924.46917,6925.019493896514,3298.050048,-1.0,-1,blocksworld-ipc08,29,PAL
blocksworld-ipc08_30.yml,paladinus.FOND,0,False,6745.487661,6746.03621785529,3299.565568,-1.0,-1,blocksworld-ipc08,30,PAL
blocksworld-new_1.yml,paladinus.FOND,1,True,0.473275,0.5128354281187057,32.391168,0.096,4,blocksworld-new,1,PAL
blocksworld-new_10.yml,paladinus.FOND,0,False,2893.580339,2893.8700611777604,3324.854272,-1.0,-1,blocksworld-new,10,PAL
blocksworld-new_11.yml,paladinus.FOND,0,False,3443.207931,3443.5050871782005,3327.668224,-1.0,-1,blocksworld-new,11,PAL
blocksworld-new_12.yml,paladinus.FOND,0,False,3614.113626,3614.444181555882,3317.297152,-1.0,-1,blocksworld-new,12,PAL
blocksworld-new_13.yml,paladinus.FOND,0,False,4417.22528,4417.596645856276,3320.0128,-1.0,-1,blocksworld-new,13,PAL
blocksworld-new_14.yml,paladinus.FOND,0,False,6290.993563,6291.51143139042,3312.840704,-1.0,-1,blocksworld-new,14,PAL
blocksworld-new_15.yml,paladinus.FOND,0,False,6821.749302,6824.000131273642,3306.213376,-1.0,-1,blocksworld-new,15,PAL
blocksworld-new_16.yml,paladinus.FOND,0,False,8592.930108,8593.609271623194,3315.707904,-1.0,-1,blocksworld-new,16,PAL
blocksworld-new_17.yml,paladinus.FOND,0,False,10562.787582,10563.588712161409,3291.07456,-1.0,-1,blocksworld-new,17,PAL
blocksworld-new_18.yml,paladinus.FOND,0,False,13216.385145,13217.463874213398,3295.031296,-1.0,-1,blocksworld-new,18,PAL
blocksworld-new_19.yml,paladinus.FOND,-1,False,14401.276731,14402.105645185336,3290.39872,-1.0,-1,blocksworld-new,19,PAL
blocksworld-new_2.yml,paladinus.FOND,1,True,0.4045,0.4405601918697357,31.981568,0.041,2,blocksworld-new,2,PAL
blocksworld-new_20.yml,paladinus.FOND,-1,False,14401.279561,14402.016010867432,3283.386368,-1.0,-1,blocksworld-new,20,PAL
blocksworld-new_21.yml,paladinus.FOND,-1,False,14400.335286,14401.004909440877,3288.551424,-1.0,-1,blocksworld-new,21,PAL
blocksworld-new_22.yml,paladinus.FOND,-1,False,14400.365592,14401.005989974365,3276.96384,-1.0,-1,blocksworld-new,22,PAL
blocksworld-new_23.yml,paladinus.FOND,-1,False,14401.278328,14406.088418141007,3277.869056,-1.0,-1,blocksworld-new,23,PAL
blocksworld-new_24.yml,paladinus.FOND,-1,False,14400.507787,14401.00559979491,3273.089024,-1.0,-1,blocksworld-new,24,PAL
blocksworld-new_25.yml,paladinus.FOND,-1,False,14400.372802,14401.00469120778,3174.576128,-1.0,-1,blocksworld-new,25,PAL
blocksworld-new_26.yml,paladinus.FOND,-1,False,14401.231462,14402.035035528244,2601.222144,-1.0,-1,blocksworld-new,26,PAL
blocksworld-new_27.yml,paladinus.FOND,-1,False,14401.261523,14402.015885137022,2609.053696,-1.0,-1,blocksworld-new,27,PAL
blocksworld-new_28.yml,paladinus.FOND,-1,False,14400.253633,14401.004399264231,2555.056128,-1.0,-1,blocksworld-new,28,PAL
blocksworld-new_29.yml,paladinus.FOND,-1,False,14401.222111,14402.053341489283,2189.664256,-1.0,-1,blocksworld-new,29,PAL
blocksworld-new_3.yml,paladinus.FOND,1,True,0.511151,0.9143599197268486,32.64512,0.088,4,blocksworld-new,3,PAL
blocksworld-new_30.yml,paladinus.FOND,-1,False,14400.234794,14401.004750961438,2100.79744,-1.0,-1,blocksworld-new,30,PAL
blocksworld-new_31.yml,paladinus.FOND,-1,False,14401.199936,14405.700757922605,2148.569088,-1.0,-1,blocksworld-new,31,PAL
blocksworld-new_32.yml,paladinus.FOND,-1,False,14400.232709,14401.003851607442,2185.166848,-1.0,-1,blocksworld-new,32,PAL
blocksworld-new_33.yml,paladinus.FOND,-1,False,14400.257283,14401.004798272625,1928.699904,-1.0,-1,blocksworld-new,33,PAL
blocksworld-new_34.yml,paladinus.FOND,-1,False,14400.26769,14401.003362864256,1827.483648,-1.0,-1,blocksworld-new,34,PAL
blocksworld-new_35.yml,paladinus.FOND,-1,False,14400.312713,14401.004358436912,1955.647488,-1.0,-1,blocksworld-new,35,PAL
blocksworld-new_36.yml,paladinus.FOND,-1,False,14400.342619,14401.0041691754,1917.087744,-1.0,-1,blocksworld-new,36,PAL
blocksworld-new_37.yml,paladinus.FOND,-1,False,14400.282794,14401.003977868706,1619.099648,-1.0,-1,blocksworld-new,37,PAL
blocksworld-new_38.yml,paladinus.FOND,-1,False,14400.367922,14401.004237793386,1620.29568,-1.0,-1,blocksworld-new,38,PAL
blocksworld-new_39.yml,paladinus.FOND,-1,False,14401.204611,14405.04479491338,1697.640448,-1.0,-1,blocksworld-new,39,PAL
blocksworld-new_4.yml,paladinus.FOND,1,True,0.797022,0.8222270589321852,36.491264,0.268,8,blocksworld-new,4,PAL
blocksworld-new_40.yml,paladinus.FOND,-1,False,14400.482628,14401.003838442266,1703.366656,-1.0,-1,blocksworld-new,40,PAL
blocksworld-new_5.yml,paladinus.FOND,1,True,2.049785,2.086127864196897,72.00768,1.467,12,blocksworld-new,5,PAL
blocksworld-new_6.yml,paladinus.FOND,1,True,26.433798,26.462052166461945,723.533824,25.754,18,blocksworld-new,6,PAL
blocksworld-new_7.yml,paladinus.FOND,0,False,2267.714916,2267.91002365388,3385.782272,-1.0,-1,blocksworld-new,7,PAL
blocksworld-new_8.yml,paladinus.FOND,0,False,2740.819237,2741.0491085872054,3370.65984,-1.0,-1,blocksworld-new,8,PAL
blocksworld-new_9.yml,paladinus.FOND,0,False,2527.552373,2527.779375184328,3341.737984,-1.0,-1,blocksworld-new,9,PAL
chain-of-rooms_1.yml,paladinus.FOND,1,True,0.670861,0.7241450510919094,47.509504,0.265,27,chain-of-rooms,1,PAL
chain-of-rooms_10.yml,paladinus.FOND,0,False,14399.927822,14400.71269798465,111.02208,-1.0,-1,chain-of-rooms,10,PAL
chain-of-rooms_2.yml,paladinus.FOND,1,True,119.60039,119.64157837629318,105.996288,119.149,57,chain-of-rooms,2,PAL
chain-of-rooms_3.yml,paladinus.FOND,0,False,14399.818673,14400.52625996992,104.235008,-1.0,-1,chain-of-rooms,3,PAL
chain-of-rooms_4.yml,paladinus.FOND,0,False,14399.815836,14400.560154892504,104.353792,-1.0,-1,chain-of-rooms,4,PAL
chain-of-rooms_5.yml,paladinus.FOND,0,False,14399.80834,14400.518606094643,101.052416,-1.0,-1,chain-of-rooms,5,PAL
chain-of-rooms_6.yml,paladinus.FOND,0,False,14399.842178,14400.598715575412,105.439232,-1.0,-1,chain-of-rooms,6,PAL
chain-of-rooms_7.yml,paladinus.FOND,0,False,14399.921256,14400.6634806972,106.06592,-1.0,-1,chain-of-rooms,7,PAL
chain-of-rooms_8.yml,paladinus.FOND,0,False,14397.231173,14400.621891848745,110.44864,-1.0,-1,chain-of-rooms,8,PAL
chain-of-rooms_9.yml,paladinus.FOND,0,False,14399.963567,14400.677526852116,106.983424,-1.0,-1,chain-of-rooms,9,PAL
doors_01.yml,paladinus.FOND,1,True,0.457107,0.5029071159660816,32.083968,0.055,6,doors,01,PAL
doors_02.yml,paladinus.FOND,1,True,0.481503,0.5140780434012413,32.043008,0.066,14,doors,02,PAL
doors_03.yml,paladinus.FOND,1,True,0.514895,0.5402751751244068,32.129024,0.087,30,doors,03,PAL
doors_04.yml,paladinus.FOND,1,True,0.533124,0.5594900399446487,32.186368,0.101,62,doors,04,PAL
doors_05.yml,paladinus.FOND,1,True,0.560215,0.5837999824434519,34.2016,0.142,126,doors,05,PAL
doors_06.yml,paladinus.FOND,1,True,0.744175,0.7745568510144949,44.879872,0.254,254,doors,06,PAL
doors_07.yml,paladinus.FOND,1,True,0.76444,0.8134434651583433,49.074176,0.278,510,doors,07,PAL
doors_08.yml,paladinus.FOND,1,True,1.081633,1.1083925645798445,54.812672,0.456,1022,doors,08,PAL
doors_09.yml,paladinus.FOND,1,True,2.056195,2.091344913467765,69.627904,1.039,2046,doors,09,PAL
doors_10.yml,paladinus.FOND,1,True,4.531499,4.555362349376082,86.46656,2.227,4094,doors,10,PAL
doors_11.yml,paladinus.FOND,1,True,17.702667,17.732899164780974,149.397504,8.852,8190,doors,11,PAL
doors_12.yml,paladinus.FOND,1,True,82.570476,82.60657601989806,293.9904,37.907,16382,doors,12,PAL
doors_13.yml,paladinus.FOND,1,True,449.375029,449.4453957956284,552.927232,245.337,32766,doors,13,PAL
doors_14.yml,paladinus.FOND,1,True,4600.571525,4600.840217972174,1397.182464,3775.409,65534,doors,14,PAL
doors_15.yml,paladinus.FOND,1,True,14400.386503,14401.003976911306,2538.35264,12288.234,131070,doors,15,PAL
earth_observation_01.yml,paladinus.FOND,1,True,0.612711,0.667696300894022,44.068864,0.258,28,earth_observation,01,PAL
earth_observation_02.yml,paladinus.FOND,1,True,0.516194,0.5423324406147003,32.120832,0.066,5,earth_observation,02,PAL
earth_observation_03.yml,paladinus.FOND,1,True,11.318832,11.351751204580069,114.085888,10.898,38,earth_observation,03,PAL
earth_observation_04.yml,paladinus.FOND,0,False,6362.095788,6362.415615199134,2024.378368,-1.0,-1,earth_observation,04,PAL
earth_observation_05.yml,paladinus.FOND,0,False,7816.038387,7816.629047580063,655.519744,-1.0,-1,earth_observation,05,PAL
earth_observation_06.yml,paladinus.FOND,1,True,3.250012,3.3003954626619816,111.120384,2.843,92,earth_observation,06,PAL
earth_observation_07.yml,paladinus.FOND,1,True,0.49905,0.5166775453835726,32.157696,0.156,17,earth_observation,07,PAL
earth_observation_08.yml,paladinus.FOND,1,True,0.417908,0.4371991977095604,32.124928,0.054,6,earth_observation,08,PAL
earth_observation_09.yml,paladinus.FOND,0,False,8421.501215,8422.053154395893,262.651904,-1.0,-1,earth_observation,09,PAL
earth_observation_10.yml,paladinus.FOND,0,False,14399.944188,14400.778027161956,3343.200256,-1.0,-1,earth_observation,10,PAL
earth_observation_11.yml,paladinus.FOND,1,True,0.430879,0.4576414506882429,32.141312,0.055,7,earth_observation,11,PAL
earth_observation_12.yml,paladinus.FOND,0,False,8632.295863,8632.836650710553,214.597632,-1.0,-1,earth_observation,12,PAL
earth_observation_13.yml,paladinus.FOND,0,False,9536.706376,9539.20735359192,468.099072,-1.0,-1,earth_observation,13,PAL
earth_observation_14.yml,paladinus.FOND,0,False,6307.499738,6307.87565112859,114.987008,-1.0,-1,earth_observation,14,PAL
earth_observation_15.yml,paladinus.FOND,0,False,14339.076134,14339.93800468184,1951.47776,-1.0,-1,earth_observation,15,PAL
earth_observation_16.yml,paladinus.FOND,1,True,0.47,0.9296662155538796,32.423936,0.095,13,earth_observation,16,PAL
earth_observation_17.yml,paladinus.FOND,0,False,7586.859632,7587.271519543603,1319.387136,-1.0,-1,earth_observation,17,PAL
earth_observation_18.yml,paladinus.FOND,0,False,8994.122052,8994.651283429936,244.670464,-1.0,-1,earth_observation,18,PAL
earth_observation_19.yml,paladinus.FOND,0,False,9340.592761,9341.291993062943,203.259904,-1.0,-1,earth_observation,19,PAL
earth_observation_20.yml,paladinus.FOND,0,False,12209.605679,12210.442402094604,599.556096,-1.0,-1,earth_observation,20,PAL
earth_observation_21.yml,paladinus.FOND,1,True,3547.820794,3548.792770987377,114.081792,3548.295,56,earth_observation,21,PAL
earth_observation_22.yml,paladinus.FOND,0,False,6806.30166,6806.982052737847,691.605504,-1.0,-1,earth_observation,22,PAL
earth_observation_23.yml,paladinus.FOND,0,False,12910.290954,12911.312029786408,506.851328,-1.0,-1,earth_observation,23,PAL
earth_observation_24.yml,paladinus.FOND,0,False,13918.000319,13921.201684044674,217.903104,-1.0,-1,earth_observation,24,PAL
earth_observation_25.yml,paladinus.FOND,0,False,12338.170641,12338.830337921156,1301.184512,-1.0,-1,earth_observation,25,PAL
earth_observation_26.yml,paladinus.FOND,0,False,7935.760934,7936.207939736545,131.391488,-1.0,-1,earth_observation,26,PAL
earth_observation_27.yml,paladinus.FOND,0,False,5975.54844,5975.906930595636,114.9952,-1.0,-1,earth_observation,27,PAL
earth_observation_28.yml,paladinus.FOND,0,False,12966.304789,12967.119800683113,313.860096,-1.0,-1,earth_observation,28,PAL
earth_observation_29.yml,paladinus.FOND,0,False,6689.847185,6690.20560191758,113.606656,-1.0,-1,earth_observation,29,PAL
earth_observation_30.yml,paladinus.FOND,0,False,14399.834912,14400.605548445135,193.921024,-1.0,-1,earth_observation,30,PAL
earth_observation_31.yml,paladinus.FOND,1,True,46.311793,46.3462106641382,117.088256,45.883,44,earth_observation,31,PAL
earth_observation_32.yml,paladinus.FOND,-1,False,14400.125633,14400.785223003477,3283.554304,-1.0,-1,earth_observation,32,PAL
earth_observation_33.yml,paladinus.FOND,0,False,13175.949956,13176.739368589597,926.408704,-1.0,-1,earth_observation,33,PAL
earth_observation_34.yml,paladinus.FOND,0,False,14200.272472,14201.210299259052,861.335552,-1.0,-1,earth_observation,34,PAL
earth_observation_35.yml,paladinus.FOND,0,False,14399.83386,14400.662932656704,1256.415232,-1.0,-1,earth_observation,35,PAL
earth_observation_36.yml,paladinus.FOND,0,False,5953.206244,5953.573443308473,114.671616,-1.0,-1,earth_observation,36,PAL
earth_observation_37.yml,paladinus.FOND,0,False,14397.678265,14400.887101307511,2872.832,-1.0,-1,earth_observation,37,PAL
earth_observation_38.yml,paladinus.FOND,0,False,13091.578546,13092.351604800671,200.728576,-1.0,-1,earth_observation,38,PAL
earth_observation_39.yml,paladinus.FOND,0,False,10091.944405,10092.540478350596,117.968896,-1.0,-1,earth_observation,39,PAL
earth_observation_40.yml,paladinus.FOND,-1,False,14400.093831,14400.818204676732,2025.385984,-1.0,-1,earth_observation,40,PAL
elevators_01.yml,paladinus.FOND,1,True,0.884738,0.9711616355925798,47.071232,0.48,17,elevators,01,PAL
elevators_02.yml,paladinus.FOND,1,True,0.555112,0.6399847827851772,32.07168,0.14,9,elevators,02,PAL
elevators_03.yml,paladinus.FOND,1,True,2.726115,2.790903214365244,82.784256,2.304,26,elevators,03,PAL
elevators_04.yml,paladinus.FOND,1,True,0.687791,0.7683948464691639,44.081152,0.294,13,elevators,04,PAL
elevators_05.yml,paladinus.FOND,1,True,0.707325,0.7514517232775688,46.063616,0.291,13,elevators,05,PAL
elevators_06.yml,paladinus.FOND,1,True,27.395446,27.443899929523468,117.981184,26.984,32,elevators,06,PAL
elevators_07.yml,paladinus.FOND,1,True,5.431548,5.473092921078205,115.023872,5.0,28,elevators,07,PAL
elevators_08.yml,paladinus.FOND,0,False,13664.967532,13665.70579953678,118.038528,-1.0,-1,elevators,08,PAL
elevators_09.yml,paladinus.FOND,0,False,13264.378223,13265.02262320742,112.447488,-1.0,-1,elevators,09,PAL
elevators_10.yml,paladinus.FOND,0,False,11736.395294,11737.016487015411,107.466752,-1.0,-1,elevators,10,PAL
elevators_11.yml,paladinus.FOND,0,False,14399.756444,14400.553853161631,454.418432,-1.0,-1,elevators,11,PAL
elevators_12.yml,paladinus.FOND,0,False,14397.232699,14400.518062479794,184.725504,-1.0,-1,elevators,12,PAL
elevators_13.yml,paladinus.FOND,0,False,14399.774452,14400.485424026849,163.1232,-1.0,-1,elevators,13,PAL
elevators_14.yml,paladinus.FOND,0,False,14399.620478,14400.533694028854,474.652672,-1.0,-1,elevators,14,PAL
elevators_15.yml,paladinus.FOND,0,False,14399.765069,14400.61250709556,258.912256,-1.0,-1,elevators,15,PAL
faults-ipc08_01.yml,paladinus.FOND,1,True,0.434739,0.5633661393076181,31.801344,0.043,5,faults-ipc08,01,PAL
faults-ipc08_02.yml,paladinus.FOND,1,True,0.437301,0.5194034092128277,31.834112,0.055,8,faults-ipc08,02,PAL
faults-ipc08_03.yml,paladinus.FOND,1,True,0.495959,0.6187799107283354,31.862784,0.087,9,faults-ipc08,03,PAL
faults-ipc08_04.yml,paladinus.FOND,1,True,0.471301,0.5182442776858807,31.862784,0.081,11,faults-ipc08,04,PAL
faults-ipc08_05.yml,paladinus.FOND,1,True,0.476066,0.5562639590352774,32.096256,0.089,11,faults-ipc08,05,PAL
faults-ipc08_06.yml,paladinus.FOND,1,True,0.616279,0.6962377354502678,32.100352,0.189,17,faults-ipc08,06,PAL
faults-ipc08_07.yml,paladinus.FOND,1,True,0.510376,0.5956498514860868,31.96928,0.094,14,faults-ipc08,07,PAL
faults-ipc08_08.yml,paladinus.FOND,1,True,0.576929,0.6619678530842066,32.108544,0.155,14,faults-ipc08,08,PAL
faults-ipc08_09.yml,paladinus.FOND,1,True,0.719642,0.8172957599163055,42.663936,0.274,39,faults-ipc08,09,PAL
faults-ipc08_10.yml,paladinus.FOND,1,True,0.830447,0.9111148845404388,47.34976,0.387,33,faults-ipc08,10,PAL
faults-ipc08_11.yml,paladinus.FOND,1,True,0.545428,0.6111571546643972,31.858688,0.153,17,faults-ipc08,11,PAL
faults-ipc08_12.yml,paladinus.FOND,1,True,0.634404,0.7099689487367868,37.90848,0.233,17,faults-ipc08,12,PAL
faults-ipc08_13.yml,paladinus.FOND,1,True,0.937132,1.0193520486354828,55.84896,0.516,39,faults-ipc08,13,PAL
faults-ipc08_14.yml,paladinus.FOND,1,True,1.203031,1.3793879952281711,65.41312,0.74,70,faults-ipc08,14,PAL
faults-ipc08_15.yml,paladinus.FOND,1,True,1.435372,1.5172098334878683,70.4512,0.964,65,faults-ipc08,15,PAL
faults-ipc08_16.yml,paladinus.FOND,1,True,0.760103,0.8332268800586462,38.248448,0.249,20,faults-ipc08,16,PAL
faults-ipc08_17.yml,paladinus.FOND,1,True,0.865557,0.9559778030961752,53.407744,0.424,34,faults-ipc08,17,PAL
faults-ipc08_18.yml,paladinus.FOND,1,True,1.39024,1.4980638027191162,70.373376,0.942,34,faults-ipc08,18,PAL
faults-ipc08_19.yml,paladinus.FOND,1,True,2.046999,2.13397965207696,100.503552,1.547,112,faults-ipc08,19,PAL
faults-ipc08_20.yml,paladinus.FOND,1,True,3.063835,3.155836964026093,179.44576,2.54,135,faults-ipc08,20,PAL
faults-ipc08_21.yml,paladinus.FOND,1,True,2.543569,2.678382197394967,138.1376,2.024,129,faults-ipc08,21,PAL
faults-ipc08_22.yml,paladinus.FOND,1,True,0.695741,0.8150950651615858,46.16192,0.298,23,faults-ipc08,22,PAL
faults-ipc08_23.yml,paladinus.FOND,1,True,1.157317,1.2885750774294138,61.534208,0.75,23,faults-ipc08,23,PAL
faults-ipc08_24.yml,paladinus.FOND,1,True,1.666867,1.7436018772423267,96.423936,1.262,25,faults-ipc08,24,PAL
faults-ipc08_25.yml,paladinus.FOND,1,True,3.598213,3.6655370723456144,236.302336,3.099,170,faults-ipc08,25,PAL
faults-ipc08_26.yml,paladinus.FOND,1,True,6.081193,6.147808827459812,330.77248,5.565,268,faults-ipc08,26,PAL
faults-ipc08_27.yml,paladinus.FOND,1,True,4.955282,5.0075678043067455,252.166144,3.967,263,faults-ipc08,27,PAL
faults-ipc08_28.yml,paladinus.FOND,1,True,10.629008,10.710878640413284,564.998144,9.999,257,faults-ipc08,28,PAL
faults-ipc08_29.yml,paladinus.FOND,1,True,0.923584,0.9812495410442352,56.549376,0.491,26,faults-ipc08,29,PAL
faults-ipc08_30.yml,paladinus.FOND,1,True,2.752129,2.8595271203666925,115.085312,2.306,34,faults-ipc08,30,PAL
faults-ipc08_31.yml,paladinus.FOND,1,True,7.654739,7.711862556636333,361.500672,7.192,48,faults-ipc08,31,PAL
faults-ipc08_32.yml,paladinus.FOND,1,True,12.34012,12.503675827756524,793.923584,11.777,244,faults-ipc08,32,PAL
faults-ipc08_33.yml,paladinus.FOND,1,True,19.794834,19.91566067747772,1326.194688,19.116,382,faults-ipc08,33,PAL
faults-ipc08_34.yml,paladinus.FOND,1,True,13.764474,14.047641394659877,920.973312,12.915,518,faults-ipc08,34,PAL
faults-ipc08_35.yml,paladinus.FOND,1,True,13.195138,13.331295885145664,893.784064,12.402,512,faults-ipc08,35,PAL
faults-ipc08_36.yml,paladinus.FOND,1,True,22.494697,22.61082955636084,1425.911808,21.708,513,faults-ipc08,36,PAL
faults-ipc08_37.yml,paladinus.FOND,1,True,1.214816,1.3091302663087845,69.791744,0.808,29,faults-ipc08,37,PAL
faults-ipc08_38.yml,paladinus.FOND,1,True,2.917819,3.0634749680757523,159.154176,2.474,46,faults-ipc08,38,PAL
faults-ipc08_39.yml,paladinus.FOND,1,True,11.729885,11.837550837546589,740.261888,11.259,43,faults-ipc08,39,PAL
faults-ipc08_40.yml,paladinus.FOND,1,True,33.706068,33.78363375738263,2217.500672,33.029,346,faults-ipc08,40,PAL
faults-ipc08_41.yml,paladinus.FOND,1,True,59.017137,59.11987363360822,3294.851072,50.909,647,faults-ipc08,41,PAL
faults-ipc08_42.yml,paladinus.FOND,1,True,104.72709,104.77735850401224,3308.752896,96.288,910,faults-ipc08,42,PAL
faults-ipc08_43.yml,paladinus.FOND,1,True,39.317008,39.398880034685135,2500.993024,37.92,1038,faults-ipc08,43,PAL
faults-ipc08_44.yml,paladinus.FOND,1,True,42.001035,42.05644080415368,2568.323072,40.745,1035,faults-ipc08,44,PAL
faults-ipc08_45.yml,paladinus.FOND,0,False,1191.136286,1191.2854238357395,3231.469568,-1.0,-1,faults-ipc08,45,PAL
