,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
297,triangle-tireworld,p31,prp-4h,prp,True,True,117.94073913199828,298.328125,False,False,372
305,triangle-tireworld,p07,prp-4h,prp,True,True,0.6569930480327457,0.859375,False,False,84
313,triangle-tireworld,p38,prp-4h,prp,True,True,412.30974526098,626.4609375,False,False,456
320,blocksworld-new,p4,minisat-4h,fondsat,True,True,2.6213865438476205,1.08203125,False,False,8
321,blocksworld-new,p4,prp-4h,prp,True,True,0.2146384790539741,0.62890625,False,False,9
323,blocksworld-new,p4,paladinus-4h,paladinus,True,True,0.859347672900185,0.7421875,False,False,9
325,blocksworld-new,p4,glucose-4h,fondsat,True,True,4.165420059114695,1.0625,False,False,8
326,blocksworld-new,p3,minisat-4h,fondsat,True,True,0.7758807768113911,1.71875,False,False,5
327,blocksworld-new,p3,prp-4h,prp,True,True,0.2004715669900179,1.203125,False,False,6
329,blocksworld-new,p3,paladinus-4h,paladinus,True,True,0.4820735878311097,1.19140625,False,False,5
331,blocksworld-new,p3,glucose-4h,fondsat,True,True,0.609802218619734,1.6953125,False,False,5
332,blocksworld-new,p2,minisat-4h,fondsat,True,True,0.3008877499960363,1.05859375,False,False,3
333,blocksworld-new,p2,prp-4h,prp,True,True,0.1559690148569643,1.23828125,False,False,4
335,blocksworld-new,p2,paladinus-4h,paladinus,True,True,0.5526745880488306,1.25,False,False,3
337,blocksworld-new,p2,glucose-4h,fondsat,True,True,0.2710618460550904,1.6015625,False,False,3
338,blocksworld-new,p5,minisat-4h,fondsat,True,True,29.54517961293459,1.4765625,False,False,13
339,blocksworld-new,p5,prp-4h,prp,True,True,0.2930970368906855,1.015625,False,False,14
341,blocksworld-new,p5,paladinus-4h,paladinus,True,True,2.312049292959273,80.5390625,False,False,13
343,blocksworld-new,p5,glucose-4h,fondsat,True,True,43.21462829085067,52.59765625,False,False,13
345,blocksworld-new,p19,prp-4h,prp,True,True,7.6364891938865185,101.4296875,False,False,54
351,blocksworld-new,p26,prp-4h,prp,True,True,22.05325613310561,225.97265625,False,False,71
357,blocksworld-new,p21,prp-4h,prp,True,True,10.033747603883969,127.9765625,False,False,66
363,blocksworld-new,p28,prp-4h,prp,True,True,28.574844772927463,278.37890625,False,False,68
369,blocksworld-new,p17,prp-4h,prp,True,True,5.077481491025537,68.99609375,False,False,49
375,blocksworld-new,p10,prp-4h,prp,True,True,1.1392301018349826,14.9765625,False,False,26
381,blocksworld-new,p11,prp-4h,prp,True,True,1.2105464600026608,12.65625,False,False,36
387,blocksworld-new,p29,prp-4h,prp,True,True,31.60087945498526,298.765625,False,False,75
