tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
beam-walk_11.yml	OUT OF MEMORY (false)	475.164077	475.0370498076081	4096.000000	-1	-1	OUT OF MEMORY (false)	445.71563	445.5484553743154	4096.000000	-1	-1	false	0.438096	0.4450258035212755	38.985728	-1	-1	false	0.431563	0.4396227840334177	39.022592	-1	-1
blocksworld-ipc08_01.yml	true	4.284843	4.293702408671379	111.579136	3.829987980425358	9	true	1.754199	1.7630655225366354	59.625472	1.3429008331149817	9	false	0.436491	0.4428085647523403	39.002112	-1	-1	false	0.432306	0.43913022987544537	38.965248	-1	-1
blocksworld-ipc08_02.yml	true	3.972638	3.9811678994446993	111.652864	3.533781012520194	9	true	1.569151	1.5776732228696346	59.576320	1.1545731220394373	9	false	0.466673	0.4800444394350052	39.137280	-1	-1	false	0.440854	0.44861509650945663	38.977536	-1	-1
blocksworld-ipc08_03.yml	true	6.022211	6.031849276274443	127.889408	5.567838817834854	10	true	2.603095	2.611586593091488	63.594496	2.161135947331786	10	false	0.425478	0.4396666046231985	39.141376	-1	-1	false	0.435972	0.4432591646909714	39.079936	-1	-1
blocksworld-ipc08_04.yml	true	84.346308	84.35895882733166	211.300352	83.90946559049189	14	true	30.602916	30.613898243755102	83.685376	30.186013858765364	14	false	0.463941	0.4728166200220585	38.965248	-1	-1	false	0.436275	0.4547461289912462	38.998016	-1	-1
blocksworld-ipc08_05.yml	true	26.817081	26.829130159690976	187.867136	26.374498980119824	13	true	17.105915	17.115909231826663	77.713408	16.663704611361027	13	false	0.462872	0.4728912338614464	38.989824	-1	-1	false	0.43028	0.4382892679423094	38.961152	-1	-1
blocksworld-ipc08_06.yml	true	9.811628	9.822955565527081	145.129472	9.340960597619414	11	true	4.685872	4.6953566912561655	67.940352	4.242581335827708	11	false	0.439216	0.4472150634974241	38.981632	-1	-1	false	0.444805	0.45370279997587204	38.993920	-1	-1
blocksworld-ipc08_07.yml	true	25.900063	25.92954376526177	187.846656	25.36848304979503	13	true	15.428937	15.439910914748907	77.742080	14.988827178254724	13	false	0.46596	0.4735111687332392	38.957056	-1	-1	false	0.420824	0.42819315381348133	38.998016	-1	-1
blocksworld-ipc08_08.yml	true	27.824362	27.83621671795845	187.867136	27.391458524391055	13	true	15.456148	15.466476924717426	77.766656	15.048870339989662	13	false	0.44228	0.4499713070690632	38.998016	-1	-1	false	0.424103	0.4314081594347954	38.998016	-1	-1
blocksworld-ipc08_09.yml	true	4.14575	4.156200148165226	111.656960	3.674304870888591	9	true	1.771793	1.7822602223604918	59.711488	1.3361699152737856	9	false	0.432224	0.43979024328291416	39.018496	-1	-1	false	0.444731	0.4595587570220232	39.153664	-1	-1
