instance,sim,num_states,num_threads,cpu_time,time,solve_time,choices,conflicts,restarts,variables,constraints
3,71,9,4,7.106,2.451,1.57,17997,6488,20,75987,301424
2,77,31,4,33.864,9.066,8.28,225255,47400,102,72417,379534
1,13,8,8,2.922,0.96,0.34,10210,1470,8,38592,228936
3,17,10,2,12.265,6.671,5.62,145248,16380,47,91963,368948
1,53,9,4,2.967,1.343,0.55,6243,2111,10,48290,292269
3,94,9,2,3.404,2.153,1.28,8197,4189,14,75987,301424
3,72,10,8,17.011,3.333,2.34,32123,12350,38,91963,368948
1,34,8,4,2.564,1.133,0.49,5022,1630,9,38592,228936
1,83,8,4,1.998,0.994,0.35,4220,1528,7,38592,228936
3,75,10,1,9.042,9.043,7.84,33761,13471,62,92122,376763
2,37,30,2,57.17,29.019,28.28,857960,114817,309,67907,352896
3,9,10,1,9.074,9.074,7.89,33761,13471,62,92122,376763
4,53,14,6,4.588,1.438,0.64,78708,4121,21,74042,325498
2,33,31,1,47.424,47.425,46.51,840718,108940,317,72399,379593
3,64,10,1,9.011,9.011,7.83,33761,13471,62,92122,376763
1,3,9,8,3.12,1.095,0.35,29246,1362,4,48290,292269
2,98,31,1,47.541,47.648,46.73,840718,108940,317,72399,379593
4,70,14,10,5.186,1.465,0.66,77650,3381,15,74042,325498
1,96,8,6,2.643,0.997,0.34,6894,1583,8,38592,228936
1,4,8,6,2.529,0.976,0.33,7410,1525,7,38592,228936
1,71,9,10,6.452,1.541,0.8,22334,3468,17,48290,292269
1,6,9,1,1.314,1.314,0.39,1864,850,5,48410,293019
4,91,14,4,3.018,1.415,0.55,19357,2375,12,74042,325498
4,3,14,10,6.636,1.656,0.86,79354,3024,12,74042,325498
1,7,8,8,2.804,0.917,0.33,8011,1432,7,38592,228936
1,84,9,4,2.325,1.199,0.39,4370,1363,7,48290,292269
1,32,9,10,5.06,1.353,0.61,8380,2670,10,48290,292269
1,29,9,4,2.05,1.117,0.32,4335,1338,5,48290,292269
3,57,10,10,20.749,3.814,2.83,67206,14221,40,91963,368948
1,5,8,2,1.856,1.28,0.59,2843,1389,6,38592,228936
1,39,9,1,1.339,1.339,0.4,1864,850,5,48410,293019
1,10,8,8,2.93,0.93,0.34,15004,1622,7,38592,228936
2,8,31,6,75.547,13.459,12.67,704600,92474,187,72417,379534
2,71,30,10,44.259,6.902,6.23,203166,36553,76,67907,352896
1,99,9,6,3.064,1.194,0.39,7853,1849,7,48290,292269
2,14,31,6,73.049,13.101,12.3,629032,86544,174,72417,379534
3,60,9,6,9.146,2.285,1.41,19021,6610,21,75987,301424
4,22,14,4,3.067,1.427,0.56,19236,2868,12,74042,325498
2,29,31,6,84.928,15.088,14.31,744440,108350,214,72417,379534
2,8,30,10,53.339,7.959,7.28,341981,44926,80,67907,352896
3,69,9,6,9.335,2.332,1.45,19351,6819,23,75987,301424
4,34,13,6,2.698,1.027,0.35,11069,1646,8,64635,281998
4,81,14,4,3.16,1.436,0.59,26935,3111,14,74042,325498
3,13,10,6,18.094,3.841,2.87,39662,13717,39,91963,368948
1,44,8,6,2.571,0.99,0.33,5083,1443,7,38592,228936
1,98,8,6,2.677,1.024,0.35,8823,1570,8,38592,228936
3,32,9,6,12.854,2.941,2.06,31540,7285,23,75987,301424
2,37,31,10,46.437,7.085,6.35,403107,41491,96,72417,379534
4,7,13,2,1.468,1.118,0.37,5527,1731,7,64635,281998
3,89,10,4,14.321,4.403,3.34,30234,11693,29,91963,368948
2,77,31,8,44.373,6.981,6.26,501648,36404,84,72417,379534
3,29,9,1,3.874,3.874,2.89,9306,5450,29,76110,307683
1,31,8,10,3.958,1.1,0.5,5781,1624,7,38592,228936
3,62,9,6,13.56,3.039,2.17,58459,7164,24,75987,301424
3,59,9,4,6.784,2.361,1.49,17315,6703,20,75987,301424
3,26,9,2,3.868,2.373,1.51,9366,5631,18,75987,301424
4,73,13,10,3.359,1.072,0.4,7616,1712,6,64635,281998
2,14,30,6,57.898,10.43,9.68,542683,71313,158,67907,352896
3,78,10,8,18.535,3.526,2.54,43100,11849,38,91963,368948
4,16,13,4,2.839,1.276,0.53,21586,2619,12,64635,281998
4,12,13,8,2.943,1.017,0.33,21798,1782,8,64635,281998
1,59,8,6,2.549,0.983,0.33,5076,1638,7,38592,228936
1,78,8,8,3,0.943,0.35,10797,1565,7,38592,228936
2,3,31,6,29.12,5.629,4.81,561888,39810,105,72417,379534
3,93,9,2,3.505,2.202,1.32,17869,4491,19,75987,301424
4,78,14,2,1.788,1.332,0.48,26153,2563,10,74042,325498
4,87,13,8,3.139,1.04,0.36,7645,1864,8,64635,281998
4,71,14,8,5.578,1.493,0.7,70803,3223,15,74042,325498
1,92,8,1,1.403,1.403,0.65,2428,1294,11,38692,229592
2,68,31,2,72.893,36.889,36.1,968630,140372,365,72417,379534
1,48,9,1,1.335,1.335,0.39,1864,850,5,48410,293019
3,12,10,4,12.051,3.803,2.77,26129,9939,27,91963,368948
3,28,10,10,24.448,4.284,3.31,47457,14977,37,91963,368948
1,58,8,1,1.375,1.383,0.62,2428,1294,11,38692,229592
1,44,9,8,2.947,1.065,0.32,7715,1242,6,48290,292269
3,66,9,2,3.917,2.409,1.53,11885,5338,18,75987,301424
4,36,14,8,5.403,1.449,0.66,66932,2617,12,74042,325498
2,42,30,8,42.55,6.636,5.96,289547,34646,80,67907,352896
3,89,10,6,24.061,4.853,3.88,83903,12348,39,91963,368948
1,77,9,10,4.646,1.305,0.56,8934,2232,11,48290,292269
1,47,9,10,5.889,1.473,0.73,17693,2850,13,48290,292269
4,97,14,2,1.814,1.341,0.49,8643,2094,7,74042,325498
4,12,13,10,4.315,1.22,0.53,34705,2461,10,64635,281998
4,90,14,4,3.183,1.459,0.59,42387,3954,16,74042,325498
2,29,30,4,43.164,11.371,10.61,249251,58413,104,67907,352896
2,67,30,10,49.204,7.493,6.83,211980,43350,76,67907,352896
1,87,9,10,4.268,1.257,0.52,61225,2231,9,48290,292269
1,84,8,4,2.254,1.059,0.41,4835,1620,9,38592,228936
3,51,9,10,9.596,2.063,1.26,20478,6479,22,75987,301424
4,99,13,1,2.004,2.008,1.16,41437,3744,18,65381,285370
3,73,10,2,8.971,5.028,3.97,54981,12728,46,91963,368948
2,92,31,2,89.51,45.201,44.42,1284174,175293,424,72417,379534
1,11,8,6,2.678,1.02,0.35,5461,1544,7,38592,228936
1,82,8,6,2.632,0.996,0.34,16384,1439,8,38592,228936
4,53,13,8,3.074,1.035,0.35,7398,1479,6,64635,281998
2,79,30,10,46.412,7.113,6.44,198594,38154,82,67907,352896
3,39,9,8,10.631,2.22,1.4,49067,5203,24,75987,301424
4,29,13,1,1.982,1.982,1.15,41437,3744,18,65381,285370
4,58,14,10,4.926,1.408,0.6,37746,2794,10,74042,325498
2,4,30,8,48.159,7.4,6.73,445899,43458,100,67907,352896
2,11,31,6,37.531,7.073,6.27,541579,49900,115,72417,379534
4,58,13,10,4.385,1.2,0.52,24837,1940,6,64635,281998
2,18,31,2,9.972,5.394,4.62,292759,24393,90,72417,379534
2,43,31,2,1.118,0.961,0.18,25563,1022,7,72417,379534
3,59,10,4,22.404,6.414,5.36,183853,15346,48,91963,368948
2,61,31,4,44.212,11.655,10.87,254346,59152,109,72417,379534
2,56,30,4,50.849,13.311,12.56,260002,68669,117,67907,352896
4,46,14,2,1.713,1.298,0.44,20764,2258,11,74042,325498
4,84,13,6,2.554,1.009,0.32,21987,1675,7,64635,281998
1,67,9,6,2.42,1.091,0.28,24949,1225,6,48290,292269
3,83,9,8,10.186,2.12,1.31,117524,6278,21,75987,301424
3,47,10,6,15.81,3.469,2.49,32492,13216,39,91963,368948
2,96,31,1,47.167,47.256,46.35,840718,108940,317,72399,379593
4,93,14,1,1.889,1.891,0.94,6875,2910,16,74857,329151
1,12,8,1,1.439,1.439,0.61,2428,1294,11,38692,229592
4,75,13,10,3.624,1.116,0.44,26247,1654,5,64635,281998
2,87,30,6,60.359,10.841,10.1,480848,73159,154,67907,352896
3,95,10,2,6.961,4.019,2.96,16710,9156,29,91963,368948
3,87,10,10,21.744,3.935,2.94,51679,12921,40,91963,368948
2,66,31,4,33.945,9.084,8.3,210867,47326,100,72417,379534
3,88,9,8,18.051,3.309,2.51,299432,7094,29,75987,301424
2,5,30,8,53.334,8.145,7.46,623832,47799,97,67907,352896
2,0,30,10,48.975,7.485,6.81,219205,39803,75,67907,352896
4,27,14,2,2.437,1.654,0.8,38256,3016,13,74042,325498
2,63,31,1,46.968,46.968,46.06,840718,108940,317,72399,379593
4,37,14,8,5.372,1.463,0.65,75440,3669,16,74042,325498
1,23,8,6,2.756,1.014,0.36,8559,1600,8,38592,228936
2,60,30,4,42.395,11.189,10.45,205820,58159,100,67907,352896
1,53,9,10,4.153,1.254,0.5,9337,1720,6,48290,292269
3,21,10,2,8.623,4.85,3.8,28242,12026,38,91963,368948
3,29,9,4,6.912,2.452,1.51,15091,6499,20,75987,301424
3,37,9,2,3.718,2.314,1.44,14055,5672,16,75987,301424
1,68,8,8,2.949,0.931,0.34,24354,1506,8,38592,228936
2,92,30,2,48.821,24.79,24.05,815053,100252,266,67907,352896
1,30,9,8,4.574,1.289,0.55,16460,2814,14,48290,292269
4,54,14,4,3.286,1.482,0.62,23621,3043,13,74042,325498
4,24,13,1,1.998,1.999,1.16,41437,3744,18,65381,285370
4,28,14,2,1.116,0.998,0.14,19713,735,2,74042,325498
4,30,14,2,1.997,1.432,0.58,31482,3135,16,74042,325498
3,48,10,1,9.055,9.055,7.86,33761,13471,62,92122,376763
2,80,30,6,60.05,10.815,10.06,441433,74065,159,67907,352896
3,32,10,1,9.242,9.241,8.01,33761,13471,62,92122,376763
4,59,13,4,2.44,1.192,0.43,5785,2022,10,64635,281998
3,78,10,1,9.087,9.087,7.9,33761,13471,62,92122,376763
1,36,9,1,1.337,1.337,0.39,1864,850,5,48410,293019
4,33,14,6,3.935,1.319,0.53,65759,3816,18,74042,325498
1,59,9,2,2.671,1.779,0.92,4408,1965,8,48290,292269
1,14,8,6,2.905,1.038,0.39,10897,1800,8,38592,228936
2,76,31,10,88.585,13.03,12.29,596733,67672,134,72417,379534
4,95,13,8,3.824,1.152,0.46,23718,1619,8,64635,281998
3,8,9,1,3.945,3.953,2.96,9306,5450,29,76110,307683
1,9,8,4,2.313,1.069,0.42,4681,1760,9,38592,228936
1,90,9,8,5.758,1.442,0.71,16616,3127,18,48290,292269
4,21,13,1,2.058,2.058,1.18,41437,3744,18,65381,285370
3,2,9,4,12.24,3.72,2.85,427928,7340,23,75987,301424
4,49,14,2,1.998,1.438,0.58,20530,3056,13,74042,325498
1,58,8,2,1.811,1.257,0.57,2706,1371,6,38592,228936
3,85,10,2,7.606,4.356,3.27,66676,10415,40,91963,368948
3,22,10,1,9.149,9.15,7.95,33761,13471,62,92122,376763
2,94,30,2,49.127,24.941,24.21,713248,103292,283,67907,352896
1,59,9,4,2.081,1.122,0.33,4045,1173,6,48290,292269
3,82,9,2,3.661,2.278,1.41,8078,4729,14,75987,301424
4,49,13,1,2.027,2.027,1.17,41437,3744,18,65381,285370
1,0,9,4,2.718,1.289,0.49,5195,1799,10,48290,292269
4,24,13,8,4.361,1.241,0.56,31120,1746,7,64635,281998
3,6,10,4,20.116,5.847,4.79,52294,14066,33,91963,368948
4,29,14,8,4.529,1.336,0.54,60620,2659,11,74042,325498
4,99,13,4,2.332,1.149,0.41,8283,1816,10,64635,281998
4,69,13,8,3.397,1.084,0.4,20808,2197,11,64635,281998
1,41,9,2,1.436,1.164,0.28,5917,635,3,48290,292269
3,74,9,1,3.855,3.855,2.86,9306,5450,29,76110,307683
1,10,8,1,1.368,1.368,0.62,2428,1294,11,38692,229592
2,70,31,6,52.783,9.596,8.81,449334,69903,147,72417,379534
4,40,14,8,3.874,1.243,0.45,51816,2612,15,74042,325498
1,98,9,8,5.931,1.492,0.75,19056,3379,16,48290,292269
1,45,8,6,3.247,1.1,0.45,17466,2147,9,38592,228936
3,40,10,8,22.495,4.116,3.14,48109,15038,45,91963,368948
2,66,30,10,58.627,8.756,8.08,351931,54173,104,67907,352896
4,29,14,2,1.96,1.421,0.57,39362,3314,15,74042,325498
1,8,8,8,2.676,0.907,0.33,14113,1415,8,38592,228936
2,18,31,4,21.728,6.05,5.25,149557,32910,72,72417,379534
1,96,8,10,3.603,1.027,0.43,6819,1583,5,38592,228936
2,72,30,10,42.181,6.526,5.86,163943,38277,71,67907,352896
1,68,9,2,1.595,1.227,0.38,2231,913,4,48290,292269
4,74,14,6,3.734,1.292,0.5,61355,3371,18,74042,325498
3,39,10,1,9.214,9.214,8.03,33761,13471,62,92122,376763
3,40,10,1,9.135,9.135,7.95,33761,13471,62,92122,376763
3,83,9,6,9.71,2.416,1.52,22481,7442,23,75987,301424
4,40,14,6,2.885,1.159,0.36,53118,1920,8,74042,325498
1,17,8,6,2.871,1.031,0.38,9076,1910,9,38592,228936
1,91,9,6,3.015,1.203,0.38,38564,1714,9,48290,292269
3,23,9,1,3.878,3.879,2.91,9306,5450,29,76110,307683
2,13,31,6,46.577,8.597,7.81,519309,58115,133,72417,379534
1,16,8,8,2.873,0.926,0.33,5691,1547,8,38592,228936
2,32,31,2,38.271,19.549,18.76,629694,77465,214,72417,379534
2,34,31,1,47.517,47.528,46.61,840718,108940,317,72399,379593
2,79,31,10,42.076,6.522,5.8,470383,37669,88,72417,379534
2,4,30,4,41.22,10.878,10.14,231441,61638,109,67907,352896
3,88,9,10,15.512,2.883,2.08,27691,9416,27,75987,301424
2,67,31,10,44.852,6.955,6.23,189731,38016,87,72417,379534
4,24,14,1,1.913,1.913,0.94,6875,2910,16,74857,329151
2,64,31,10,44.224,6.812,6.09,273312,38321,94,72417,379534
3,47,9,2,3.142,2.017,1.14,7433,4536,15,75987,301424
3,5,10,6,18.174,3.864,2.88,66512,14722,45,91963,368948
1,96,9,8,4.389,1.261,0.51,33472,2331,13,48290,292269
2,91,31,10,39.159,6.205,5.48,217722,32772,82,72417,379534
4,69,14,6,4.01,1.353,0.54,64733,3609,17,74042,325498
1,62,9,10,6.148,1.511,0.77,14280,3160,16,48290,292269
2,74,30,2,45.305,23.037,22.29,679726,92321,250,67907,352896
1,28,9,10,5.334,1.423,0.68,8918,2777,11,48290,292269
4,36,14,10,6.016,1.543,0.75,81626,3112,11,74042,325498
4,62,13,6,2.224,0.955,0.27,6883,1599,7,64635,281998
4,90,14,8,5.178,1.416,0.62,126739,2628,13,74042,325498
3,27,10,1,9.178,9.178,7.96,33761,13471,62,92122,376763
2,82,31,2,9.788,5.331,4.5,278525,21433,75,72417,379534
1,88,9,10,4.727,1.299,0.56,38355,2633,13,48290,292269
1,2,9,8,3.756,1.178,0.44,9835,1976,9,48290,292269
1,96,8,2,1.946,1.326,0.64,2805,1427,6,38592,228936
4,22,13,1,2.049,2.049,1.19,41437,3744,18,65381,285370
3,98,10,10,20.376,3.782,2.79,50536,11048,28,91963,368948
3,50,9,6,9.367,2.353,1.48,72016,7073,31,75987,301424
1,59,9,10,3.233,1.107,0.35,6614,1299,5,48290,292269
4,45,14,8,5.585,1.493,0.68,83518,3422,15,74042,325498
3,39,9,6,10.605,2.525,1.65,26125,7459,25,75987,301424
3,94,9,4,6.558,2.314,1.44,20808,7551,22,75987,301424
4,83,14,4,3.039,1.41,0.56,38339,3883,17,74042,325498
1,47,8,8,3.151,0.967,0.37,5981,1993,11,38592,228936
3,56,9,6,8.719,2.21,1.33,19040,7016,23,75987,301424
3,88,10,2,7.955,4.518,3.46,28670,11458,36,91963,368948
3,18,9,10,18.046,3.222,2.42,175216,6045,22,75987,301424
2,72,31,8,54.553,8.473,7.75,536178,45009,95,72417,379534
2,7,31,4,11.401,3.447,2.66,134745,17252,49,72417,379534
1,71,9,2,3.446,2.16,1.31,6003,2835,11,48290,292269
2,64,30,4,41.971,11.055,10.32,235467,60367,99,67907,352896
2,18,30,6,59.362,10.672,9.93,500628,78396,165,67907,352896
2,35,31,1,47.496,47.496,46.59,840718,108940,317,72399,379593
4,85,14,10,6.553,1.621,0.81,90072,3402,12,74042,325498
3,47,10,10,20.02,3.678,2.7,41187,11239,34,91963,368948
2,62,30,10,55.332,8.3,7.62,419129,50737,101,67907,352896
1,70,9,1,1.338,1.347,0.4,1864,850,5,48410,293019
3,13,10,10,21.978,3.944,2.97,58205,13775,40,91963,368948
1,87,9,4,2.394,1.211,0.41,5434,1764,8,48290,292269
3,69,10,2,6.951,4.016,2.96,52562,9133,36,91963,368948
1,12,8,4,2.249,1.052,0.41,4284,1657,10,38592,228936
3,38,10,2,7.339,4.228,3.16,17469,9665,22,91963,368948
1,97,8,6,2.405,0.961,0.3,7928,1374,6,38592,228936
3,31,10,4,16.814,5.013,3.96,56933,15365,41,91963,368948
2,85,30,4,48.23,12.647,11.91,414455,75880,114,67907,352896
4,13,14,4,3.214,1.455,0.6,49881,3670,18,74042,325498
1,24,9,2,1.744,1.301,0.46,2632,942,4,48290,292269
3,54,9,4,7.552,2.564,1.68,38879,6470,21,75987,301424
4,68,13,2,1.342,1.052,0.31,8756,1503,5,64635,281998
1,43,8,2,1.756,1.226,0.54,2588,1174,6,38592,228936
1,12,8,10,3.028,0.939,0.35,6824,1520,6,38592,228936
3,59,9,10,8.937,1.997,1.17,16064,5605,20,75987,301424
2,65,30,4,36.642,9.724,8.99,177967,53719,95,67907,352896
4,40,13,10,4.116,1.2,0.52,33914,2730,13,64635,281998
1,3,9,1,1.334,1.334,0.39,1864,850,5,48410,293019
4,0,13,6,2.334,0.97,0.29,16075,1311,8,64635,281998
1,52,9,2,3.996,2.43,1.58,6642,3368,12,48290,292269
2,9,31,2,55.975,28.428,27.6,809763,112858,283,72417,379534
2,23,30,6,60.358,10.861,10.12,576507,74469,160,67907,352896
3,86,10,4,17.017,5.072,4.01,119573,17135,45,91963,368948
1,31,9,1,1.302,1.302,0.39,1864,850,5,48410,293019
2,56,30,8,49.118,7.591,6.9,341261,41456,83,67907,352896
4,40,14,2,1.888,1.376,0.53,30182,3654,18,74042,325498
2,28,30,10,49.924,7.603,6.93,281371,42050,92,67907,352896
1,9,9,2,2.336,1.596,0.75,3864,1667,6,48290,292269
2,79,30,2,35.053,17.962,17.2,610694,75667,198,67907,352896
4,17,14,10,5.372,1.473,0.68,56060,3109,11,74042,325498
4,74,14,4,3.156,1.443,0.58,20077,3087,14,74042,325498
4,78,13,8,2.691,0.977,0.3,9399,1370,7,64635,281998
3,28,9,2,2.979,1.942,1.07,6805,3348,14,75987,301424
4,54,13,6,2.793,1.052,0.36,23344,2088,10,64635,281998
3,15,9,6,6.867,1.894,1.03,13802,4625,18,75987,301424
2,71,31,1,48.078,48.078,47.16,840718,108940,317,72399,379593
4,39,14,4,4.467,1.786,0.91,93023,5721,22,74042,325498
3,8,10,4,14.022,4.309,3.26,29986,13594,29,91963,368948
4,46,13,8,4.281,1.224,0.55,17804,1929,8,64635,281998
4,18,14,10,5.116,1.425,0.62,76470,3645,15,74042,325498
2,77,30,1,63.174,63.173,62.34,926909,142955,430,67889,352953
3,75,10,4,14.66,4.479,3.42,32953,12763,30,91963,368948
4,28,13,1,1.981,1.981,1.15,41437,3744,18,65381,285370
3,24,9,8,8.482,1.923,1.12,18467,5937,23,75987,301424
1,79,8,6,2.622,1.001,0.34,6606,1594,8,38592,228936
4,93,13,6,2.498,1.006,0.31,16604,1316,6,64635,281998
3,40,9,4,8.226,2.741,1.85,46428,8157,24,75987,301424
3,64,9,2,4.644,2.763,1.9,40403,7209,24,75987,301424
3,37,9,8,9.074,2,1.18,63612,5634,22,75987,301424
1,74,9,4,3.208,1.408,0.61,11343,2356,10,48290,292269
2,83,31,2,18.204,9.529,8.74,467539,41157,122,72417,379534
4,35,14,2,1.791,1.34,0.47,24259,2575,9,74042,325498
2,69,30,10,82.898,12.162,11.49,724219,70442,131,67907,352896
3,18,10,1,9.06,9.06,7.84,33761,13471,62,92122,376763
4,0,13,8,3.378,1.085,0.4,25093,1241,4,64635,281998
2,84,30,2,36.671,18.718,17.97,570532,81230,206,67907,352896
2,18,31,1,47.961,48.187,47.25,840718,108940,317,72399,379593
3,52,10,6,16.699,3.612,2.64,34753,13117,37,91963,368948
1,31,8,1,1.843,1.843,0.72,2428,1294,11,38692,229592
3,77,9,6,8.14,2.114,1.24,15413,5776,19,75987,301424
3,16,9,10,12.522,2.471,1.66,23938,7191,24,75987,301424
2,27,31,10,38.911,6.042,5.31,237896,34196,77,72417,379534
3,45,9,10,13.22,2.595,1.79,20309,6649,23,75987,301424
1,40,9,2,2.561,1.706,0.87,4484,1954,7,48290,292269
1,73,8,10,3.236,0.987,0.39,13145,1502,5,38592,228936
4,31,14,1,1.913,1.914,0.95,6875,2910,16,74857,329151
4,49,13,6,2.776,1.041,0.36,41807,2541,12,64635,281998
4,87,14,4,3.305,1.488,0.62,48115,3221,14,74042,325498
4,51,14,10,5.923,1.54,0.75,72019,2776,12,74042,325498
4,97,14,4,2.81,1.355,0.5,33379,2761,13,74042,325498
4,74,14,2,1.519,1.191,0.35,19444,1959,9,74042,325498
4,62,13,2,1.632,1.2,0.45,20659,3020,11,64635,281998
2,79,31,6,28.038,5.433,4.62,440928,36600,101,72417,379534
1,82,9,4,3.242,1.429,0.61,7027,2625,11,48290,292269
3,35,9,6,8.461,2.171,1.29,59071,7351,26,75987,301424
2,68,30,8,64.195,9.748,9.08,557313,56839,122,67907,352896
2,85,31,2,103.843,52.483,51.66,1281301,182430,485,72417,379534
4,43,13,8,4.405,1.223,0.54,37795,1925,10,64635,281998
3,6,10,1,9.039,9.039,7.86,33761,13471,62,92122,376763
1,21,8,2,1.649,1.164,0.5,2586,1173,6,38592,228936
3,41,10,8,30.297,5.192,4.19,67470,14556,45,91963,368948
3,0,10,6,20.51,4.246,3.27,157597,16889,44,91963,368948
1,45,9,4,3.812,1.556,0.76,7492,2752,12,48290,292269
4,47,13,10,3.369,1.078,0.4,14534,1908,7,64635,281998
2,44,30,6,57.654,10.4,9.64,488314,69501,151,67907,352896
1,31,8,6,2.497,0.969,0.32,6471,1349,7,38592,228936
1,24,9,6,5.181,1.546,0.74,15083,3713,15,48290,292269
1,22,8,1,1.472,1.489,0.67,2428,1294,11,38692,229592
2,25,30,2,48.978,24.88,24.12,744241,102691,256,67907,352896
1,57,8,8,3.436,1.006,0.41,6894,1575,7,38592,228936
2,97,30,10,70.357,10.384,9.71,409819,61702,108,67907,352896
2,72,31,4,31.329,8.438,7.64,188552,45861,91,72417,379534
4,76,14,1,1.904,1.904,0.94,6875,2910,16,74857,329151
2,66,31,1,47.411,47.416,46.51,840718,108940,317,72399,379593
4,44,14,8,4.537,1.349,0.55,54781,3158,13,74042,325498
3,0,10,1,9.058,9.058,7.88,33761,13471,62,92122,376763
2,47,31,1,47.787,47.788,46.88,840718,108940,317,72399,379593
3,28,10,6,18.837,3.97,2.99,49756,13318,42,91963,368948
1,61,9,8,4.348,1.266,0.52,9180,2167,12,48290,292269
3,59,9,1,3.88,3.88,2.89,9306,5450,29,76110,307683
2,30,31,2,54.313,27.587,26.77,897817,107923,286,72417,379534
2,54,30,1,63.476,63.476,62.64,926909,142955,430,67889,352953
3,0,9,6,7.21,1.955,1.08,14606,5841,21,75987,301424
3,99,9,10,12.913,2.521,1.73,66665,8847,28,75987,301424
2,13,30,8,42.04,6.668,5.99,430529,38526,91,67907,352896
3,10,10,1,9.108,9.108,7.92,33761,13471,62,92122,376763
3,37,10,1,9.128,9.128,7.91,33761,13471,62,92122,376763
1,27,8,2,1.679,1.182,0.51,2609,1197,5,38592,228936
4,78,14,1,1.908,1.908,0.94,6875,2910,16,74857,329151
4,76,13,10,3.036,1.029,0.35,17129,1469,6,64635,281998
1,89,8,2,1.738,1.222,0.53,2613,1138,5,38592,228936
4,3,13,1,2.017,2.017,1.17,41437,3744,18,65381,285370
3,86,9,2,4.644,2.764,1.91,47289,7815,30,75987,301424
4,0,13,1,2.037,2.037,1.18,41437,3744,18,65381,285370
1,62,9,8,3.419,1.136,0.39,17101,1599,9,48290,292269
3,10,9,10,11.793,2.373,1.56,21541,7375,25,75987,301424
4,56,13,1,2.048,2.048,1.17,41437,3744,18,65381,285370
2,98,30,2,39.539,20.154,19.41,575442,83590,240,67907,352896
3,5,10,1,9.107,9.107,7.92,33761,13471,62,92122,376763
3,84,10,1,9.23,9.231,8.01,33761,13471,62,92122,376763
3,73,9,6,10.94,2.645,1.77,89759,9458,32,75987,301424
4,78,13,10,4.103,1.197,0.51,15426,2013,7,64635,281998
4,37,14,6,3.48,1.25,0.46,47540,2437,11,74042,325498
3,32,9,10,11.034,2.285,1.48,24469,8311,28,75987,301424
4,22,13,10,3.329,1.065,0.39,7122,1957,8,64635,281998
1,54,9,2,1.851,1.354,0.51,3027,1029,5,48290,292269
4,87,13,2,1.485,1.124,0.38,11954,2133,10,64635,281998
2,13,30,4,45.352,11.926,11.19,303233,66984,115,67907,352896
4,47,14,10,4.927,1.382,0.59,58113,3221,14,74042,325498
4,54,13,10,3.414,1.091,0.41,15496,1913,7,64635,281998
3,40,9,6,8.823,2.223,1.36,22256,6411,21,75987,301424
1,9,8,2,1.588,1.147,0.45,2347,1088,5,38592,228936
1,57,9,10,4.453,1.278,0.54,13243,2199,11,48290,292269
1,81,8,2,1.727,1.217,0.53,2441,1232,5,38592,228936
4,7,14,1,1.95,1.95,0.98,6875,2910,16,74857,329151
1,26,8,1,1.384,1.384,0.64,2428,1294,11,38692,229592
1,23,9,2,2.61,1.74,0.89,4790,1936,6,48290,292269
1,44,8,10,3.798,1.045,0.46,6374,1556,6,38592,228936
1,73,9,4,2.852,1.32,0.52,5795,1996,10,48290,292269
3,66,10,10,26.01,4.551,3.56,44660,14390,45,91963,368948
3,56,10,2,7.223,4.164,3.11,22785,10353,32,91963,368948
4,86,14,2,2.373,1.626,0.77,66092,6157,28,74042,325498
4,94,13,8,2.938,1.021,0.34,11890,1525,7,64635,281998
4,50,14,2,2.228,1.556,0.7,30404,4205,16,74042,325498
3,5,9,8,8.498,1.941,1.12,29675,5938,21,75987,301424
2,35,30,6,54.174,9.809,9.05,500022,69861,161,67907,352896
4,1,14,2,1.849,1.363,0.51,32629,2888,16,74042,325498
1,80,9,8,3.291,1.107,0.37,13915,1532,6,48290,292269
1,86,8,1,1.357,1.366,0.62,2428,1294,11,38692,229592
1,21,9,8,3.869,1.204,0.46,11418,1952,9,48290,292269
2,74,30,6,58.54,10.536,9.79,488497,73017,165,67907,352896
4,90,13,1,2,2.001,1.16,41437,3744,18,65381,285370
1,54,8,2,1.739,1.236,0.52,2814,1197,6,38592,228936
2,65,31,4,44.106,11.626,10.84,268234,60730,112,72417,379534
4,46,13,6,2.759,1.038,0.36,19160,1971,9,64635,281998
1,0,9,2,1.759,1.327,0.44,2639,1072,5,48290,292269
4,13,13,1,2.011,2.011,1.16,41437,3744,18,65381,285370
4,43,13,10,3.582,1.1,0.42,15039,2020,7,64635,281998
2,32,30,8,47.482,7.379,6.71,575037,44655,111,67907,352896
2,7,30,10,50.387,7.62,6.95,257354,42497,84,67907,352896
3,54,10,8,19.942,3.692,2.71,89532,13514,45,91963,368948
3,84,9,4,8.421,2.767,1.9,38318,7622,25,75987,301424
2,47,31,8,53.244,8.227,7.5,522219,47611,114,72417,379534
1,68,8,2,1.717,1.211,0.53,2713,1248,6,38592,228936
3,88,9,4,7.201,2.463,1.59,15798,6111,21,75987,301424
2,84,31,8,66.348,10.162,9.43,661603,53873,104,72417,379534
3,70,9,2,3.383,2.136,1.27,15820,4676,18,75987,301424
3,52,10,4,17.229,5.123,4.07,118104,13982,37,91963,368948
3,45,10,8,19.844,3.697,2.72,35984,11480,36,91963,368948
1,14,8,1,1.36,1.36,0.61,2428,1294,11,38692,229592
