scenario,instance,solver,total-time,ground-time,solve-time,iteration
spiky-tireworld,p11,asp-opt-4,7952.317,19.846999999999753,7932.47,19
spiky-tireworld,p11,asp-opt-4,5.574,5.194,0.38,7
spiky-tireworld,p11,asp-opt-4,6.29,5.15,1.14,9
spiky-tireworld,p11,asp-opt-4,74.437,11.126999999999995,63.31,14
spiky-tireworld,p11,asp-opt-4,1.907,1.807,0.1,5
spiky-tireworld,p11,asp-opt-4,158.131,12.770999999999987,145.36,15
spiky-tireworld,p11,asp-opt-4,0.473,0.473,0.0,1
spiky-tireworld,p11,asp-opt-4,3.695,3.455,0.24,6
spiky-tireworld,p11,asp-opt-4,2344.935,17.764999999999873,2327.17,18
spiky-tireworld,p11,asp-opt-4,24420.774,21.744000000002416,24399.03,20
spiky-tireworld,p11,asp-opt-4,1.556,1.516,0.04,3
spiky-tireworld,p11,asp-opt-4,5.146,4.4559999999999995,0.69,8
spiky-tireworld,p11,asp-opt-4,42.283,9.563000000000002,32.72,13
spiky-tireworld,p11,asp-1,0.832,0.822,0.01,2
spiky-tireworld,p11,asp-1,8.8,5.680000000000001,3.12,10
spiky-tireworld,p11,asp-1,3901.884,15.204000000000178,3886.68,17
spiky-tireworld,p11,asp-1,28.997,5.946999999999999,23.05,11
spiky-tireworld,p11,asp-1,28.695,6.555,22.14,12
spiky-tireworld,p11,asp-1,2104.063,11.32300000000032,2092.74,16
spiky-tireworld,p11,asp-1,1.297,1.257,0.04,4
spiky-tireworld,p11,asp-1,16367.259,15.488999999999578,16351.77,19
spiky-tireworld,p11,asp-1,2.702,2.452,0.25,7
spiky-tireworld,p11,asp-1,5.18,3.8999999999999995,1.28,9
spiky-tireworld,p11,asp-1,317.227,9.016999999999996,308.21,14
spiky-tireworld,p11,asp-1,1.439,1.369,0.07,5
spiky-tireworld,p11,asp-1,483.325,13.435000000000002,469.89,15
spiky-tireworld,p11,asp-1,0.54,0.54,0.0,1
spiky-tireworld,p11,asp-1,1.907,1.807,0.1,6
spiky-tireworld,p11,asp-1,7618.25,20.1899999999996,7598.06,18
spiky-tireworld,p11,asp-1,37089.964,16.713999999999942,37073.25,20
spiky-tireworld,p11,asp-1,0.866,0.856,0.01,3
spiky-tireworld,p11,asp-1,4.044,3.4239999999999995,0.62,8
spiky-tireworld,p11,asp-1,112.247,7.117000000000004,105.13,13
spiky-tireworld,p11,asp-opt-1,0.854,0.844,0.01,2
spiky-tireworld,p11,asp-opt-1,10.398,7.247999999999999,3.15,10
spiky-tireworld,p11,asp-opt-1,2659.91,18.149999999999636,2641.76,17
spiky-tireworld,p11,asp-opt-1,19.336,8.046,11.29,11
spiky-tireworld,p11,asp-opt-1,78.024,8.664000000000001,69.36,12
spiky-tireworld,p11,asp-opt-1,1045.534,14.944000000000187,1030.59,16
spiky-tireworld,p11,asp-opt-1,1.467,1.427,0.04,4
spiky-tireworld,p11,asp-opt-1,12973.551,22.380999999999403,12951.17,19
spiky-tireworld,p11,asp-opt-1,3.784,3.3739999999999997,0.41,7
spiky-tireworld,p11,asp-opt-1,11.891,5.361,6.53,9
spiky-tireworld,p11,asp-opt-1,291.066,10.525999999999954,280.54,14
spiky-tireworld,p11,asp-opt-1,2.055,2.0050000000000003,0.05,5
spiky-tireworld,p11,asp-opt-1,597.664,13.923999999999978,583.74,15
spiky-tireworld,p11,asp-opt-1,0.316,0.316,0.0,1
spiky-tireworld,p11,asp-opt-1,2.703,2.453,0.25,6
spiky-tireworld,p11,asp-opt-1,5645.683,17.802999999999884,5627.88,18
spiky-tireworld,p11,asp-opt-1,24205.461,27.40099999999802,24178.06,20
spiky-tireworld,p11,asp-opt-1,1.065,1.055,0.01,3
spiky-tireworld,p11,asp-opt-1,4.9,4.17,0.73,8
spiky-tireworld,p11,asp-opt-1,151.963,11.062999999999988,140.9,13
spiky-tireworld,p11,asp-4,0.775,0.755,0.02,2
spiky-tireworld,p11,asp-4,7.87,4.66,3.21,10
spiky-tireworld,p11,asp-4,1357.423,13.032999999999902,1344.39,17
spiky-tireworld,p11,asp-4,14.401,5.791,8.61,11
spiky-tireworld,p11,asp-4,27.829,7.619,20.21,12
spiky-tireworld,p11,asp-4,518.212,15.111999999999966,503.1,16
spiky-tireworld,p11,asp-4,1.778,1.678,0.1,4
spiky-tireworld,p11,asp-4,9209.007,16.197000000000116,9192.81,19
spiky-tireworld,p11,asp-4,3.284,2.9539999999999997,0.33,7
spiky-tireworld,p11,asp-4,5.753,4.183,1.57,9
spiky-tireworld,p11,asp-4,128.851,12.501000000000005,116.35,14
spiky-tireworld,p11,asp-4,1.785,1.665,0.12,5
spiky-tireworld,p11,asp-4,394.424,12.563999999999965,381.86,15
spiky-tireworld,p11,asp-4,0.471,0.471,0.0,1
spiky-tireworld,p11,asp-4,2.202,1.972,0.23,6
spiky-tireworld,p11,asp-4,3679.354,14.903999999999996,3664.45,18
spiky-tireworld,p11,asp-4,36209.062,16.211999999999534,36192.85,20
spiky-tireworld,p11,asp-4,1.009,0.9589999999999999,0.05,3
spiky-tireworld,p11,asp-4,3.824,3.064,0.76,8
spiky-tireworld,p11,asp-4,61.039,10.929000000000002,50.11,13
spiky-tireworld,p11,asp-8,0.839,0.7789999999999999,0.06,2
spiky-tireworld,p11,asp-8,10.516,6.326,4.19,10
spiky-tireworld,p11,asp-8,1250.657,16.72699999999986,1233.93,17
spiky-tireworld,p11,asp-8,14.008,6.087999999999999,7.92,11
spiky-tireworld,p11,asp-8,24.093,8.183,15.91,12
spiky-tireworld,p11,asp-8,817.072,13.22199999999998,803.85,16
spiky-tireworld,p11,asp-8,1.885,1.695,0.19,4
spiky-tireworld,p11,asp-8,5588.234,22.304000000000087,5565.93,19
spiky-tireworld,p11,asp-8,3.987,2.987,1.0,7
spiky-tireworld,p11,asp-8,7.696,5.385999999999999,2.31,9
spiky-tireworld,p11,asp-8,141.321,9.11099999999999,132.21,14
spiky-tireworld,p11,asp-8,2.33,2.14,0.19,5
spiky-tireworld,p11,asp-8,357.052,10.522000000000048,346.53,15
spiky-tireworld,p11,asp-8,0.465,0.465,0.0,1
spiky-tireworld,p11,asp-8,3.121,2.661,0.46,6
spiky-tireworld,p11,asp-8,2232.941,17.630999999999858,2215.31,18
spiky-tireworld,p11,asp-8,14043.054,23.273999999999432,14019.78,20
